prlName,ptlMessageDocumentNo,ptlMessage,ptlMessageRegisteredDate,ptlMessageKindDesc,ptlMessageDateUpdated,prlNpdidLicence,dateSyncNPD
006 B,5496,"Total E&P Norge AS overdrar sin 7,5 % deltakerandel i utvinningstillatelsen til Hess Norge AS med virkning fra 1.1.2010.",2010-09-07,Endring i tillatelse,9999-12-31,1333048,2013-05-08
006 B,5518,"Enterprise Oil Norge AS overdrar en 24,095567 % deltakerandel i utvinningstillatelsen til Hess International Holdings Corporation med virkning fra 1. januar 2010.",2010-10-01,Endring i tillatelse,9999-12-31,1333048,2013-05-08
006 B,5519,"Hess International Holdings Corporation overdrar sin 24,095567 % deltakerandel i utvinningstillatelsen til Hess Norge AS med virkning fra 1. januar 2010.",2010-10-01,Endring i tillatelse,9999-12-31,1333048,2013-05-08
006 B,5520,"Enterprise Oil Norge AS overdrar sin 4,237766 % deltakerandel i utvinningstillatelsen til Hess Holdings UK Limited med virkning fra 1. januar 2010.",2010-10-01,Endring i tillatelse,9999-12-31,1333048,2013-05-08
006 B,5521,"Hess Holdings UK Limited overdrar sin 4,237766 % deltakerandel i utvinningstillatelsen til Hess Norge AS med virkning fra 1.januar 2010.",2010-10-01,Endring i tillatelse,9999-12-31,1333048,2013-05-08
006 C,1147,Utvinningstillatelsen innført i Petroleumsregisteret.,2000-11-02,Ny tillatelse,9999-12-31,1333089,2013-05-08
006 C,1620,Enterprise Oil Norwegian AS har endret navn til Enterprise Oil Norge AS.,2002-01-17,Andre meldinger,9999-12-31,1333089,2013-05-08
006 C,1621,Enterprise Oil Norge AS har overdratt en 14.166% andel i tillatelsen til Gaz de France Norge AS.,2002-01-17,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,1697,Elf Petroleum Norge AS har endret navn til TotalFinaElf Exploration Norge AS.,2002-01-21,Andre meldinger,9999-12-31,1333089,2013-05-08
006 C,1735,BP Amoco Norge AS har overdratt en 10% andel i tillatelsen til Det Norske Oljeselskap AS.,2002-01-23,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,1774,BP Amoco Norge AS har endret navn til BP Norge AS.,2002-03-21,Andre meldinger,9999-12-31,1333089,2013-05-08
006 C,1930,TotalFinaElf Exploration Norge AS har overdratt sin 15% andel i tillatelsen til Det Norske Oljeselskap AS.,2003-02-25,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,1931,Det Norske Oljeselskap AS har overtatt operatørskapet i tillatelsen.,2003-02-25,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,1932,Amerada Hess Norge AS har overdratt sin 28.333% andel i tillatelsen til  Det Norske Oljeselskap AS.,2003-03-04,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,2120,"Enterprise Oil Norge AS har overdratt sin 14,167% andel i tillatelsen til Det Norske Oljeselskap AS.",2003-08-26,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,2121,"BP Amoco Norge AS ( nå BP Norge AS) har overdratt sin 18,333 % andel i tillatelsen til Det Norske Oljeselskap AS. ",2003-08-26,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,2122,Gaz de France Norge AS har overdratt sin 14.166 % andel i tillatelsen til Det Norske Oljeselskap AS.,2003-08-27,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,2405,Det Norske Oljeselskap AS har overdratt sin 100 % andel i tillatelsen til Lundin Norway AS.,2004-06-24,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,2406,Lundin Norway AS har overtatt operatørskapet i tillatelsen.,2004-06-24,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,2913,Lundin Norway AS overdrar en 25% andel i tillatelsen til Norwegian Energy Company AS.,2006-11-20,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,3985,Norwegian Energy Company ASA har overdratt en 10% andel i tillatelsen til Faroe Petroleum Norge AS med virkning fra 01.01.2008.,2008-11-28,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,5883,"Faroe Petroleum Norge AS pantsetter sin 10 % deltakerandel i utvinningstillatelsen til fordel for BNP Paribas. Første prioritet panteobligasjon stor NOK 1,200,000,000, skriver norske kroner enmilliardertohundre millioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterligere pantsettelser av pantsatte objekt uten skriftlig samtykke fra panthaver. Olje- og energidepartementet har i brev av 8.6.2011 gitt samtykke i medhold av petroleumsloven § 6-2 første ledd. Pantsettelsen utgjør et såkalt krysspant.",2011-07-18,Heftelse,9999-12-31,1333089,2013-05-08
006 C,6778,Norwegian Energy Company ASA overdrar sin 15 % deltakerandel i utvinningstillatelsen til Noreco Norway AS med virkning fra 31.12.2012.,2013-01-02,Endring i tillatelse,9999-12-31,1333089,2013-05-08
006 C,6997,"Noreco Norway AS pantsetter sin 15 % deltakerandel i utvinningstillatelsen til fordel for SpareBank 1 SR-Bank  ASA. Første prioritet panteobligasjon stor NOK 1,240,000,000, skriver norske kroner enmilliardtohundreogførtimillioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterligere pantsettelser av pantsatte objekt uten skriftlig samtykke fra panthaver. Olje- og energidepartementet har i brev av 9.1.2013 gitt samtykke i medhold av petroleumsloven § 6-2 første ledd. Pantsettelsen utgjør et såkalt krysspant.",2013-04-02,Heftelse,2013-04-13,1333089,2013-05-08
018,0265,"Avtale mellom eierne av det unitiserte Torfeltet om gjensidig rett til å kreve avståelse av andeler i tilfelle mislighold (art.12), og om begrensninger i retten til overdragelse av andeler (art.25).",1988-07-25,Heftelse,9999-12-31,20900,2013-05-08
018,0354,Registrert Art. IX og XIII i Base North Sea Agreement som regulerer rettigheter for operatører ved en deltakers mislighold samt regulering av overdragelser.,1990-03-16,Heftelse,9999-12-31,20900,2013-05-08
018,1161,"Fina Production Licenses AS har overdratt en 28,5% andel i tillatelsen til TOTAL Norge A.S. ",2001-01-23,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,1232,Saga Petroleum ASA er innfusjonert i Norsk Hydro Produksjon AS.,2001-02-26,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,1249,Den norske stats oljeselskap a.s har endret navn til Statoil ASA.,2001-05-29,Andre meldinger,9999-12-31,20900,2013-05-08
018,1502,Innføring av en direkte statlig andel (SDØE) på 5.00% i tillatelsen fremkommer ved en forholdsmessig reduksjon av de andre deltagernes andeler.,2001-06-11,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,1504,SDØE overført til Petoro AS.,2001-06-18,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,1658,Elf Petroleum Norge AS har endret navn til TotalFinaElf Exploration Norge AS.,2002-01-17,Andre meldinger,9999-12-31,20900,2013-05-08
018,1698,Total Norge AS er innfusjonert i TotalFinaElf Exploration Norge AS.,2002-01-21,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,1889,Phillips Petroleum Company Norway har endret navn til ConocoPhillips Norge.,2002-11-12,Andre meldinger,9999-12-31,20900,2013-05-08
018,2027,Phillips Petroleum Norsk AS har endret navn til Conoco Phillips Skandinavia AS.,2003-06-23,Andre meldinger,9999-12-31,20900,2013-05-08
018,2028,TotalFinaElf Norge AS har endret navn til Total E&P Norge AS.,2003-06-23,Andre meldinger,9999-12-31,20900,2013-05-08
018,2278,Eni Norge AS er innfusjonert i Norsk Agip AS.,2004-02-03,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,2279,Norsk Agip AS har endret navn til Eni Norge AS.,2004-02-03,Andre meldinger,9999-12-31,20900,2013-05-08
018,3121,Norsk Hydro Produksjon AS har overført alle eiendeler (herunder alle selskapets andeler i utvinningstillatelser) til det nystiftede selskapet Norsk Hydro Petroleum AS med virkning fra 21.04.2007.,2007-10-17,Andre meldinger,9999-12-31,20900,2013-05-08
018,3264,Norsk Hydro Petroleum AS har endret navn til StatoilHydro Petroleum AS med virkning fra 01.10.2007.,2007-11-06,Andre meldinger,9999-12-31,20900,2013-05-08
018,3565,Statoil ASA har endret navn til StatoilHydro ASA med virkning fra 01.10.2007,2008-01-05,Andre meldinger,9999-12-31,20900,2013-05-08
018,4129,"StatoilHydro ASA har overdratt sin 0,95% deltakerandel i tillatelsen til StatoilHydro Petroleum AS med virkning fra 1.1.2009 ",2009-02-17,Endring i tillatelse,9999-12-31,20900,2013-05-08
018,4804,StatoilHydro Petroleum AS har endret navn til Statoil Petroleum AS med virkning fra 2.11.2009.,2009-11-12,Andre meldinger,9999-12-31,20900,2013-05-08
018,774,Utvinningstillatelse 018 overført til nytt Petroleumsregister med endringer iht. ILGI-basen.,1997-07-24,Ny tillatelse,9999-12-31,20900,2013-05-08
018,953,Fina Production Licences AS har skiftet navn til Fina Production Licenses AS.,1997-09-30,Andre meldinger,9999-12-31,20900,2013-05-08
018 B,1162,"Fina Production Licenses AS har overdratt en 28,5% andel i tillatelsen til TOTAL Norge A.S.",2001-01-23,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,1233,Saga Petroleum ASA er innfusjonert i Norsk Hydro Produksjon AS.,2001-02-26,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,1250,Den norske stats oljeselskap a.s har endret navn til Statoil ASA,2001-05-29,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,1503,Innføring av en direkte statlig andel (SDØE) på 5.00% i tillatelsen fremkommer ved en forholdsmessig reduksjon av de andre deltagernes andeler.,2001-06-11,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,1505,SDØE overført til Petoro AS.,2001-06-18,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,1659,Elf Petroleum Norge AS har endret navn til TotalFinaElf Exploration Norge AS.,2002-01-17,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,1699,Total Norge AS er innfusjonert i TotalFinaElf Exploration Norge AS.,2002-01-21,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,1890,Phillips Petroleum Company Norway har endret navn til ConocoPhillips Norge.,2002-11-12,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,2029,TotalFinaElf Norge AS har endret navn til Total E&P Norge AS.,2003-06-23,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,2032,Phillips Petroleum Norsk AS har endret navn til Conoco Phillips Skandinavia AS.,2003-06-23,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,2280,Eni Norge AS er innfusjonert i Norsk Agip AS.,2004-02-03,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,2281,Norsk Agip AS har endret navn til Eni Norge AS.,2004-02-03,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,3098,Norsk Hydro Produksjon AS har overført alle eiendeler (herunder alle selskapets andeler i utvinningstillatelser) til det nystiftede selskapet Norsk Hydro Petroleum AS med virkning fra 21.04.2007.,2007-10-06,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,3122,Norsk Hydro Petroleum AS har endret navn til StatoilHydro Petroleum AS med virkning fra 01.10.2007.,2007-10-17,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,3265,Statoil ASA  har endret navn til StatoilHydro ASA med virkning fra 01.10.2007.,2007-11-06,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,4131,"StatoilHydro ASA har overdratt sin 0,95% deltakerandel i tillatelsen til StatoilHydro Petroleum AS med virkning fra 1.1.2009 ",2009-02-17,Endring i tillatelse,9999-12-31,20908,2013-05-08
018 B,4805,StatoilHydro Petroleum AS har endret navn til Statoil Petroleum AS med virkning fra 2.11.2009.,2009-11-12,Andre meldinger,9999-12-31,20908,2013-05-08
018 B,775,Utvinningstillatelse 018 B overført til nytt Petroleumsregister med endringer iht. ILGI-basen.,1997-07-24,Ny tillatelse,9999-12-31,20908,2013-05-08
018 B,954,Fina Production Licences AS har skiftet navn til Fina Production Licenses AS.,1997-09-30,Andre meldinger,9999-12-31,20908,2013-05-08
018 C,1921,Tillatelsen innført i Petroleumsregisteret.,2003-01-08,Ny tillatelse,9999-12-31,2246113,2013-05-08
018 C,2030,TotalFinaElf Norge AS har endret navn til Total E&P Norge AS.,2003-06-23,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,2031,Phillips Petroleum Norsk AS har endret navn til Conoco Phillips Skandinavia AS.,2003-06-23,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,2065,"Total E&P Norge AS har overdratt sin 39,896% andel i tillatelsen til Kerr McGee Norway AS.",2003-08-19,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,2282,Eni Norge AS er innfusjonert i Norsk Agip AS.,2004-02-03,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,2283,Norsk Agip AS har endret navn til Eni Norge AS.,2004-02-03,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,2510,Kerr McGee Norway AS har overtatt operatørskapet i tilllatelsen.,2004-12-06,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,2511,ConocoPhillips Scandinavia AS har overdratt sin 35.112% andel i tillatelsen til Kerr-McGee Norway AS.,2004-12-06,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,2694,Eni Norge AS har overdratt sin 12.388% andel i tillatelsen til Altinex Oil AS.,2005-11-17,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,2712,"Statoil ASA har overdratt sin 0,95 % andel til Altinex Oil AS",2006-03-08,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,2859,Kerr-McGee Norway AS har endret navn til Maersk Oil Norway AS.,2006-07-18,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3123,Norsk Hydro Produksjon AS har overført alle eiendeler (herunder alle selskapets andeler i utvinningstillatelser) til det nystiftede selskapet Norsk Hydro Petroleum AS med virkning fra 21.04.2007.,2007-10-17,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3266,Norsk Hydro Petroleum AS har endret navn til StatoilHydro Petroleum AS med virkning fra 01.10.2007.,2007-11-06,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3767,Altinex Oil AS har endret navn til Altinex Oil Norway AS med virkning 28.11.2006.,2008-03-21,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3837,Maersk Oil Norway AS har endret navn til Maersk Oil PL 018C Norway AS med virkning 22.09.2007.,2008-06-13,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3838,Maersk Oil PL 018C Norway AS har overdratt en 15% andel i tillatelsen til Noble Energy (Europe) Limited med virkning fra 28.11.2005. Noble Energy (Europe) Limited er den 12.06.2008 ikke lenger registrert i Brønneysundregisteret,2008-06-13,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,3839,Noble Energy (Europe) Limited har overdratt sin 15% andel i tillatelsen til Noble Energy Norge AS med virkning 01.12.2005,2008-06-13,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,3868,"Dok nr 3839 er registrert med feil dato 01.12.2005, erstattes med Dok nr.3868 riktig dato skal være den 01.12.2007",2008-07-04,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3870,"Dok nr 3868 er registrert med feil dato 01.12.2007, erstattes med Dok nr 3870 riktig dato skal være den 01.11.2007.",2008-07-07,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3913,Noble Energy Norge AS har endret navn til Skeie Oil & Gas AS med virkning 21.07.2008.,2008-07-30,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,3927,"Skeie Oil & Gas AS pantsetter sin 15% andel i tillatelsen til fordel for DnB NOR Bank ASA. Første prioritet pantobligasjon stor NOK 500,000,000 skriver norske kroner femhundre millioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterligere pantsettelse av det pantsatte objekt uten skriftlig samtykke fra panthaver.",2008-08-20,Heftelse,9999-12-31,2246113,2013-05-08
018 C,4501,"Patobligasjon stor NOK 500,000,000 skriver norske kroner femhundremillioner 00/100. Datert 20.8.2008 dok. nr 3927 hvor Skeie Oil & Gas AS er pantsetter og DnB NOR Bank ASA er panthaver, er slettet.",2009-07-15,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,4505,"Skeie Oil & Gas AS pantsetter sin 15% deltakerandel i tillatelsen til fordel for DnB NOR Bank ASA. Førsteprioritet pantobligasjon stor NOK 800,000,000 skriver norske kroner åttehundremillioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterlige pantsettelser av pantsatte objekt uten skriftlig samtykke fra panthaver. Pantsettelsen utgjør et såkalt krysspant.",2009-07-15,Heftelse,9999-12-31,2246113,2013-05-08
018 C,4513,"Pantobligasjon stor NOK 500,000,000, datert 20.8.2008 dok nr 3927 er slettet og erstattet med dok nr 4505 datert 15.7.2009",2009-07-15,Sletting av heftelse,9999-12-31,2246113,2013-05-08
018 C,4806,StatoilHydro Petroleum AS har endret navn til Statoil Petroleum AS med virkning fra 2.11.2009.,2009-11-12,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,5612,Skeie Oil & Gas AS har endret foretaksnavn til Skeie Energy AS med virkning fra 3.1.2011.,2011-01-25,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,5673,Pantobligasjon stor NOK 800 000 000 skriver norske kroner åttehundremillioner  00/100 datert 15.7.2009 (dok. nr. 4505) hvor Skeie Oil & Gas AS pantsetter sin 15 % deltakerandel i utvinningstillatelsen til DnB NOR Bank ASA er slettet. Samtykke fra panthaver foreligger.,2011-02-04,Sletting av heftelse,9999-12-31,2246113,2013-05-08
018 C,5676,"Skeie Energy AS pantsetter sin 15 % deltakerandel i utvinningstillatelsen til fordel for DnB Nor Bank ASA. Første prioritet panteobligasjon stor NOK 400,000,000, skriver norske kroner firehundre millioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterligere pantsettelser av pantsatte objekt uten skriftlig samtykke fra panthaver. Olje- og energidepartementet har i brev av 7.12.2010 gitt samtykke i medhold av petroleumsloven § 6-2 første ledd. Pantsettelsen utgjør et såkalt krysspant.",2011-02-04,Heftelse,9999-12-31,2246113,2013-05-08
018 C,6078,Det er inngått fusjon mellom Maersk Oil Norway AS (overtakende selskap) og Maersk Oil PL 018 C Norway AS (overdragende selskap) 28.10.2011.,2012-01-12,Andre meldinger,9999-12-31,2246113,2013-05-08
018 C,6080,"Altinex Oil Norge AS overdrar sin 13,338 % deltakerandel i utvinningstillatelsen til Maersk Oil Norway AS med virkning fra 1.1.2011.",2012-01-12,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 C,6087,Pantobligasjon pålydende NOK 400 000 000 skriver norske kroner firehundremillioner  00/100 datert 4.2.2011 (dok. nr. 5676) hvor Skeie Energy AS pantsetter sin 15 % deltakerandel i utvinningstillatelsen til DnB NOR Bank ASA er slettet. Samtykke fra panthaver foreligger i brev datert 12.1.2012.,2012-01-18,Sletting av heftelse,9999-12-31,2246113,2013-05-08
018 C,6088,Skeie Energy AS overdrar sin 15 % deltakerandel  i utvinningstillatelsen til Maersk Oil Norway AS med virkning fra 1.1.2011.,2012-01-18,Endring i tillatelse,9999-12-31,2246113,2013-05-08
018 DS,6047,Tillatelsen er innført i petroleumsregisteret.,2011-12-21,Ny tillatelse,9999-12-31,21139552,2013-05-08
018 DS,6079,Det er inngått fusjon mellom Maersk Oil Norway AS (overtakende selskap) og Maersk Oil PL 018 C Norway AS (overdragende selskap) 28.10.2011.,2012-01-12,Andre meldinger,9999-12-31,21139552,2013-05-08
018 DS,6559,Altinex Oil Norway AS har endret navn til Noreco Norway AS med virkning fra 5.7.2012.,2012-08-28,Andre meldinger,9999-12-31,21139552,2013-05-08
