fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated
BALDER,Development,"Balder is an oil field in the central part of the North Sea, at a water depth of 125 metres. The field has been developed with subsea wells tied back to the accommodation, production and storage vessel, “Balder FPSO”, where oil and gas are processed. The Ringhorne discovery, included in the Balder field, is developed with a combined accommodation, drilling and wellhead facility, tied back to the “Balder FPSO”. The PDO for Ringhorne was approved in May 2000 and production started in May 2001. An amended PDO for Ringhorne was approved in 2007.",43562,2013-05-01
BALDER,Reservoir,"Balder and Ringhorne contain several separate oil deposits in Eocene, Paleocene and Jurassic sandstones. Top reservoirs are at a depth of about 1 700 metres.",43562,2013-05-01
BALDER,Recovery strategy,"Balder and Ringhorne produce primarily by natural aquifer drive, but re-injection of produced water is used for pressure support, especially into the Ringhorne Jurassic reservoir. Excess water is injected into the Utsira formation. Gas is also injected if the gas export system is down.",43562,2013-05-01
BALDER,Transport,"The Ringhorne facility is tied to the “Balder FPSO” and “Jotun FPSO” for processing, crude oil storage and gas export. The oil is transported by tankers. Excess gas from Balder is routed to Jotun for export. Jotun exports Ringhorne and Balder gas via Statpipe.",43562,2013-05-01
BALDER,Status,"The field is in the decline phase, but production is likely to continue until 2025. Ongoing studies are evaluating possible means to improve recovery. 4D seismic acquired in 2006, 2009 and 2012 is being used as a basis for reservoir monitoring and to evaluate drilling targets for more wells. A new drilling campaign started on Ringhorne in 2010 and several new wells will be drilled on Balder over the next years.",43562,2013-05-01
BLANE,Development,"Blane is an oil field located southwest of Ula in the southern part of the North Sea, on the border to the British sector. The water depth in the area is about 70 metres. The field has been developed with a subsea facility tied to the Ula field. The subsea templates are located on the British continental shelf.",3437650,2012-08-23
BLANE,Reservoir,The reservoir is in marine sandstones in the Forties Formation of Paleocene age at a depth of approximately 3 100 metres.,3437650,2013-05-01
BLANE,Recovery strategy,"Blane is produced by pressure support from injection of produced water from Blane, Tambar and Ula. In addition, gas lift is used in the wells.",3437650,2012-08-23
BLANE,Transport,"The wellstream is transported by pipeline to Ula for processing and metering. The oil is exported through the existing pipeline to Teesside, while the gas is sold to Ula for injection in the Ula reservoir.",3437650,2013-05-01
BLANE,Status,The overall field performance has been good. Water breakthrough was experienced in the production wells. Gaslift is now required to keep the field producing. A new reservoir model will be used to evaluate whether more wells can be justified to improve recovery.,3437650,2013-05-01
BRAGE,Development,"Brage is an oil field east of Oseberg in the northern part of the North Sea. The water depth in the area is 140 metres. Brage has been developed with a fixed integrated production, drilling and accommodation facility with a steel jacket.",43651,2013-05-01
BRAGE,Reservoir,"The reservoir contains oil in sandstones of the Statfjord Formation of Early Jurassic age, and in the Brent Group and the Fensfjord Formation of Middle Jurassic age. There is also oil and gas in the Sognefjord Formation of Late Jurassic age. The reservoirs lie at a depth of 2 000 – 2 300 metres. The reservoir quality varies from poor to excellent.",43651,2013-05-01
BRAGE,Recovery strategy,"The recovery strategy in the Statfjord and Fensfjord Formations is water injection. Gas injection started in March 2009 in the Sognefjord Formation. The first oil producers in the Brent Group started production in 2008, supported by water injection.",43651,2013-05-01
BRAGE,Transport,The oil is transported by pipeline to Oseberg and on through the Oseberg Transport System (OTS) pipeline to the Sture terminal. A gas pipeline is tied back to Statpipe.,43651,2012-08-23
BRAGE,Status,"Brage has been producing for a long time, and work is still ongoing to find new ways of increasing recovery from the field. New wells have been drilled in recent years, and more wells are planned for the coming years. Brage is also evaluating several technologies for enhanced oil recovery. WAG injection will start in a part of the Brent reservoir in 2013. A pilot project for microbiological injection (MEOR) is planned.",43651,2013-05-01
BRYNHILD,Development,"Brynhild is located about 10 kilometres from the UK border, about 55 kilometres northwest of the Ula field and 38 kilometres from the UK Pierce field. The water depth in the area is about 80 metres. The development concept is a subsea template and manifold, tied-in to the Hæwene Brim FPSO located on the Pierce field in the UK. Water for injection will be supplied from Pierce.",21123063,2013-05-08
BRYNHILD,Reservoir,The reservoir lies at a depth of about 3 300 metres in Upper Jurassic sandstones in the Ula Formation. The reservoir contains under-saturated oil at reservoir conditions closely bordering high pressure – high temperature (HPHT) conditions.,21123063,2013-05-08
BRYNHILD,Recovery strategy,The Brynhild oil will be produced by pressure support from water injection.,21123063,2013-05-08
BRYNHILD,Transport,"The wellstream will be transported by pipeline to the Hæwene Brim FPSO for metering and processing. The processed oil will be exported by shuttle tankers to the market, while gas is re-injected into the Pierce field.",21123063,2013-05-08
BRYNHILD,Status,The PDO was approved in November 2011. Production is planned to start in October 2013.,21123063,2013-05-08
BØYLA,Development,The oil discovery Bøyla is situated about 28 kilometres south of the Alvheim field. Water depth is about 120 metres. The development solution for Bøyla is a subsea template tied back to the Alvheim FPSO.,22492497,2013-05-08
BØYLA,Reservoir,"The Bøyla reservoir is within the Hermod Sandstone Member, which is a channelised sub-marine fan system of Late Paleocene to Early Eocene age, and lies at a depth of about 2 100 metres.",22492497,2013-05-08
BØYLA,Recovery strategy,"Water injection is required for pressure support due to limited connected aquifer volume. Gas lift will also be required to support flow, once production wells start producing water.",22492497,2013-05-08
BØYLA,Transport,The oil and gas from Bøyla will be transported to Alvheim for processing and export.,22492497,2013-05-08
BØYLA,Status,The PDO was submitted in June 2012. Production is planned to start in October 2014.,22492497,2013-05-08
COD,Status,There are no specific plans to recover the remaining resources.  Final disposal is planned for 2007.,43785,2012-08-23
DRAUGEN,Development,"Draugen is an oil field in the Norwegian Sea at a water depth of 250 metres. The field has been developed with a concrete fixed facility and integrated topside. Stabilised oil is stored in tanks in the base of the facility. Two pipelines transport the oil from the facility to a floating loading buoy. The Garn Vest and Rogn Sør deposits have been developed with a total of seven subsea wells connected to the main facility at Draugen. The field also has six subsea water injection wells, of which only three are being used.",43758,2013-05-01
DRAUGEN,Reservoir,"The main reservoir is in sandstones in the Rogn Formation of Late Jurassic age. The field also produces from the Garn Formation of Middle Jurassic age in the western part of the field. The reservoirs lie at a depth of about 1 600 metres and are relatively homogeneous, with good reservoir characteristics.",43758,2013-05-01
DRAUGEN,Recovery strategy,The field is produced by pressure maintenance from water injection and aquifer support.,43758,2013-05-01
DRAUGEN,Transport,"The oil is exported by tankers, via a floating loading buoy. The associated gas is transported through the Åsgard Transport pipeline to Kårstø.",43758,2013-05-01
DRAUGEN,Status,"Several measures to increase oil recovery have been evaluated. Based on a 4D seismic survey from 2009, an infill drilling campaign was sanctioned in 2011.The project includes four production wells and a subsea pump. The first oil from the project is scheduled in 2013. In December 2012, the planned tie-in of the 6406/9-1 Linnorm discovery to Draugen was put on hold. Because of this, supply of fuel gas to Draugen will be a challenge from 2016.",43758,2013-05-01
EDDA,Status,There are no specific plans to recover the remaining resources.  Final disposal is planned for 2006 and in 2013.,43541,2012-08-23
EDVARD GRIEG,Development,"Edvard Grieg is located about 35 kilometres south of Grane and Balder. The water depth is about 110 metres. The development comprises a PdQ jacket solution using a separate jack-up for drilling and completion. The PdQ platform will have sufficient spare well slots for possible additional wells, together with the possible development of nearby discoveries and prospects.",21675433,2013-05-08
EDVARD GRIEG,Reservoir,"The reservoir contains oil at a depth of 1 900 – 1 940 metres. The reservoir consists of Upper Triassic to Lower Cretaceous alluvial, aeolian and shallow marine conglomerates and sandstones. Oil is also proven in the underlying basement.",21675433,2013-05-08
EDVARD GRIEG,Recovery strategy,Edvard Grieg will be produced by pressure support from water injection.,21675433,2013-05-08
EDVARD GRIEG,Transport,"The oil will be exported by pipeline to the Grane Oil Pipeline, which is connected to the Sture terminal. The gas is planned to be exported in a separate pipeline to the Scottish Area Gas Evacuation (SAGE) System.",21675433,2013-05-08
EDVARD GRIEG,Status,The platform is under construction. Production is planned to start in late 2015.,21675433,2013-05-08
EKOFISK,Development,"Ekofisk is an oil field located in the southern part of the North Sea. The water depth in the area is 70 - 75 metres. The field was produced to tankers until a concrete storage tank was installed in 1973. Since then, the field has been further developed with many facilities, including riser facilities for associated fields and export pipelines. Several of these have been decommissioned and are awaiting disposal. Today, the operative parts of the Ekofisk Centre consist of the accommodation facilities, Ekofisk H and Ekofisk Q, the production facility Ekofisk C, the drilling and production facility Ekofisk X, the processing facility Ekofisk J and the production and processing facility Ekofisk M. From the wellhead facility Ekofisk A, located in the southern part of the field, production goes to the riser facility Ekofisk FTP for processing at the Ekofisk Centre. The pipeline from production facility Ekofisk B in the northern part of the field is routed to Ekofisk M. Ekofisk K is a facility for water injection. A plan for water injection at Ekofisk was approved in December 1983, a PDO for Ekofisk II was approved in November 1994 and a PDO for Ekofisk Growth was approved in June 2003. In June 2008 a subsea template for water injection wells was approved. These have replaced the water injection at Ekofisk W, which is no longer in use. In March 2010, the new accommodation facility, Ekofisk L, was approved. This will replace Ekofisk H and Ekofisk Q. Ekofisk L will be in operation from autumn 2013. Permanent cables have been installed on the seabed over the Ekofisk reservoir for acquisition of seismic data. A PDO for Ekofisk Sør was approved in June 2011. The project includes two new installations; Ekofisk Z, a production facility, and Ekofisk VB, a subsea template for water injection wells.",43506,2013-05-01
EKOFISK,Reservoir,"The Ekofisk field produces from naturally fractured chalk in the Ekofisk and Tor Formations of Early Paleocene and Late Cretaceous ages. The reservoir rocks have high porosity, but low permeability. The reservoir has an oil column of more than 300 metres and lies 2 900 - 3 250 metres below sea level.",43506,2013-05-01
EKOFISK,Recovery strategy,"Ekofisk was originally developed by pressure depletion and had an expected recovery factor of 17 per cent. Since then, limited gas injection and comprehensive water injection have contributed to a substantial increase in oil recovery. Large scale water injection started in 1987, and in subsequent years the area for water injection has been extended in several phases. Experience has proven that water displacement of the oil is more effective than anticipated, and the expected recovery factor for Ekofisk is now approximately 50 per cent. In addition to the water injection, compaction of the soft chalk provides extra force to drainage of the field. The reservoir compaction has resulted in subsidence of the seabed, which is now more than 9 metres in the central part of the field. It is expected that the subsidence will continue for many years, but at a lower rate.",43506,2013-05-01
EKOFISK,Transport,"Oil and gas are routed to export pipelines via the processing facility at Ekofisk J. Gas from the Ekofisk area is transported via the Norpipe Gas pipeline to Emden, while the oil, which also contains NGL fractions, is sent via the Norpipe Oil pipeline to Teesside.",43506,2012-08-23
EKOFISK,Status,Production from Ekofisk is maintained at a high level through continuous drilling of water injection wells and production wells from several facilities. Production from Ekofisk Z and injection from Ekofisk VB are planned to start in 2013.,43506,2013-05-01
ELDFISK,Development,"Eldfisk is an oil field located south of Ekofisk, in the southern part of the North Sea. The water depth in the area is 70 - 75 metres. The original Eldfisk development consisted of three facilities. Eldfisk B is a combined drilling, wellhead and process facility, while Eldfisk A and Eldfisk FTP are wellhead and process facilities connected by a bridge. Eldfisk A also has drilling facilities. In 1999, a new water injection facility, Eldfisk E, was installed. The facility also supplies the Ekofisk field with some injection water through a pipeline from Eldfisk to Ekofisk K. The Embla field, located south of Eldfisk, is tied to Eldfisk FTP. A PDO for Eldfisk II was approved in June 2011. The plan includes a new combined accommodation, wellhead and process facility, Eldfisk S, connected by bridge to Eldfisk E. The new facility will replace several functions of Eldfisk A and Eldfisk FTP. The Embla field will be tied back to Eldfisk S.",43527,2013-05-01
ELDFISK,Reservoir,"The Eldfisk field produces from chalk in the Ekofisk, Tor and Hod Formations of the Early Paleocene and Late Cretaceous ages. The reservoir rock is fine-grained and dense, but has high porosity. Natural fracturing allows the reservoir fluids to flow more easily. The field consists of three structures: Alpha, Bravo and Øst Eldfisk. The reservoir is at a depth of 2 700 - 2 900 metres.",43527,2013-05-01
ELDFISK,Recovery strategy,"Eldfisk was originally developed by pressure depletion. In 1999, water injection began at the field, based on horizontal injection wells. Gas is also injected in periods when export is not possible. Pressure depletion has caused compaction in the reservoir, which has resulted in a few metres of seabed subsidence.",43527,2012-08-23
ELDFISK,Transport,"Oil and gas are sent to the export pipelines via the Ekofisk Centre. Gas from the Ekofisk area is sent by pipeline to Emden, while the oil, which also contains NGL fractions, is routed by pipeline to Teesside.",43527,2013-05-01
ELDFISK,Status,"The new facility, Eldfisk S, is under construction. Ongoing modifications to the existing facilities are part of the Eldfisk II project. About 40 new production and injection wells will be drilled from Eldfisk S with start-up in 2015.",43527,2013-05-01
EMBLA,Development,Embla is an oil field located near Eldfisk in the southern part of the North Sea. The field has been developed with an unmanned wellhead facility which is remotely controlled from Eldfisk. The water depth in the area is 70 – 75 metres. An amended PDO for Embla was approved in April 1995.,43534,2012-08-23
EMBLA,Reservoir,The Embla field produces from a segmented sandstone and conglomerate reservoir of Devonian and Permian age. The reservoir is complex and lies at a depth of more than 4 000 metres. Embla was the first field with high pressure and high temperature to be developed in the area.,43534,2013-05-01
EMBLA,Recovery strategy,Embla is produced by pressure depletion.,43534,2012-08-23
EMBLA,Transport,"Oil and gas are transported to Eldfisk for processing and on to the Ekofisk Centre for export. Gas from the Ekofisk area is transported by pipeline to Emden, while the oil, which also contains NGL fractions, is routed by pipeline to Teesside.",43534,2012-08-23
EMBLA,Status,"As a part of the Eldfisk II project, Embla will be tied to the new Eldfisk S facility. This enables an extended lifetime for Embla.",43534,2012-08-23
ENOCH,Development,"Enoch is located in the central part of the North Sea on the border to the British sector, just northwest of Sleipner. The field has been developed with a subsea facility on the British continental shelf and is tied to the British field Brae.",3437659,2012-08-23
ENOCH,Reservoir,The reservoir contains oil in Paleocene sandstones at a depth of approximately 2 100 metres. The reservoir quality is variable.,3437659,2013-05-01
ENOCH,Recovery strategy,"The field is recovered by pressure depletion, but water injection may be implemented at a later stage.",3437659,2012-08-23
ENOCH,Transport,The wellstream from Enoch is transported to the Brae A facility for processing and further transport by pipeline to Cruden Bay. The gas is sold to Brae.,3437659,2012-08-23
FRAM,Development,"Fram is an oil field located in the northern part of the North Sea, about 20 kilometres north of Troll. The water depth in the area is approximately 350 metres. The field comprises two deposits, Fram Vest and Fram Øst. The Fram Vest deposit is developed by two subsea templates tied back to Troll C. The gas is separated from the liquid on Troll C and re-injected into the Fram Vest reservoir. The development of the Fram Øst deposit was approved in April 2005. This development includes two subsea templates tied back to Troll C. Production from Fram Øst started in October 2006.",1578840,2013-05-01
FRAM,Reservoir,"The reservoirs in Fram Vest and Fram Øst consist partly of sandstones in a sub-marine fan system in the Draupne Formation and shallow marine sandstones in the Sognefjord Formation of Late Jurassic age and partly of sandstones in the Brent Group of Middle Jurassic age. The reservoirs are in several isolated, rotated fault blocks and contain oil with an overlying gas cap. The reservoir depth is 2 300 - 2 500 metres. The reservoir in the Fram Vest deposit is complex, while the reservoirs in the Fram Øst deposit are generally of good quality.",1578840,2013-05-01
FRAM,Recovery strategy,"The Fram Øst deposit in the Sognefjord Formation is produced by injection of produced water as pressure support, in addition to natural aquifer drive. The Brent reservoir in the Fram Øst deposit is recovered by pressure support from natural aquifer drive. Gas lift is used in the wells. Oil production from Fram is balanced in proportion to gas production capacity at Troll C. Gas export from Fram started in 2007. The gas blow down phase has started at Fram Vest.",1578840,2013-05-01
FRAM,Transport,The Fram wellstream is transported by pipeline to Troll C for processing. The oil is then transported to Mongstad through the Troll Oljerør II pipeline. Gas is exported via Troll A to Kollsnes.,1578840,2012-08-23
FRAM,Status,"Additional resources have been proven in new deposits near the field. These are being considered in connection with the further development of Fram. Several prospects have been identified in the area. A PDO exemption for development of Fram H-Nord has been sent the authorities. Development plans include a two branch multilateral (MLT) well with gas lift, which will be produced by pressure depletion. Production will be routed through a subsea template tied in to Fram Vest and on to Troll C for processing.",1578840,2013-05-01
FRIGG,Status,Final disposal of the facilities is ongoing.,43555,2012-08-23
FRØY,Status,No activity.,43597,2012-08-23
GAUPE,Development,"Gaupe is located close to the border between the Norwegian and UK sectors, about 12 kilometres south of the Varg field. The water depth in the area is approximately 90 metres. The development concept is two single horizontal subsea wells tied to the Armada installation on the UK shelf.",18161341,2013-05-01
GAUPE,Reservoir,"The Gaupe reservoirs are in two structures, Gaupe South and Gaupe North, at a depth of approximately 3 000 metres. Most of the resources are in Triassic sandstones, while some are in Middle Jurassic sandstones. The two structures have a free gas cap overlying an oil zone, with different hydrocarbon contacts.",18161341,2012-08-23
GAUPE,Recovery strategy,"Gaupe is produced by pressure depletion. Initial production is from the oil zone, followed by combined production from the oil and gas zones.",18161341,2013-05-01
GAUPE,Transport,"The wellstream is processed at the Armada installation for export to the UK. The rich gas is transported via the CATS pipeline to Teesside, and condensate and oil are transported via the Forties pipeline.",18161341,2013-05-01
GAUPE,Status,"Production started in March 2012. The two development wells came in with low production rates, and the field is now expected to produce for only two to four years.",18161341,2013-05-01
GIMLE,Development,Gimle is an oil field in the northern part of the North Sea. The water depth in the area is about 220 metres. The field is tied to the Gullfaks C facility by two production wells and one water injection well drilled from Gullfaks C.,4005142,2013-05-01
GIMLE,Reservoir,"The reservoir consists of sandstones in the Tarbert Formation of Middle Jurassic age, in a downfaulted structure northeast of the Gullfaks field. There are also slumped sands of Late Jurassic age. The reservoir depth is about 2 900 metres, and the reservoir has good quality.",4005142,2013-05-01
GIMLE,Recovery strategy,The field is recovered by pressure support from water injection.,4005142,2012-08-23
GIMLE,Transport,The production from Gimle is processed on the Gullfaks C facility and transported together with oil and gas from the Gullfaks field.,4005142,2012-08-23
GIMLE,Status,A production well combined with an exploration pilot is currently being drilled. Findings in the new well will be important input for further evaluation of additional wells on the field.,4005142,2013-05-01
GJØA,Development,Gjøa is located about 40 kilometres north of the Fram field. The water depth in the area is 360 metres. The development comprises five subsea templates tied to a semi-submersible production and processing facility. The Gjøa facility is partly supplied with power from shore. Vega and Vega Sør are tied to the Gjøa facility.,4467574,2013-05-01
GJØA,Reservoir,"The reservoir contains gas above a relatively thin oil zone in Jurassic sandstones in the Viking, Brent and Dunlin Groups. The field comprises several tilted fault segments with partly uncertain communication and variable reservoir quality. The reservoir depth is about 2 200 metres.",4467574,2012-08-23
GJØA,Recovery strategy,The reservoir is produced by pressure depletion.,4467574,2012-08-23
GJØA,Transport,"Stabilised oil is exported through a pipeline connected to Troll Oljerør II, for further transport to Mongstad. Rich gas is exported by pipeline to the Far North Liquids and Associated Gas System (FLAGS) transport system on the UK continental shelf, for further transport to St Fergus.",4467574,2013-05-01
GJØA,Status,Gjøa is being evaluated as host for additional resources in the area.,4467574,2013-05-01
GLITNE,Development,"Glitne is an oil field in the central part of the North Sea, 40  kilometres north of the Sleipner area. The water depth in the area is about 110 metres. The field is developed with six horizontal production wells and one water injection well, tied back to the production and storage vessel “Petrojarl 1”.",1272071,2013-05-01
GLITNE,Reservoir,The reservoir consists of several separate sandlobes deposited as deep marine fans in the upper part of the Heimdal Formation of Paleocene age. The reservoir lies at a depth of approximately 2 150 metres.,1272071,2013-05-01
GLITNE,Recovery strategy,Glitne is recovered by pressure support from a large natural aquifer in the Heimdal Formation. Associated gas was used for gas lift in the horizontal wells until August 2012.,1272071,2013-05-01
GLITNE,Transport,Oil from Glitne is processed and stored on the production vessel and exported by tankers. Excess gas is injected in the Utsira Formation.,1272071,2012-08-23
GLITNE,Status,"Glitne is a mature field with limited remaining reserves. A new well was drilled in 2012, but was abandoned. A disposal plan was submitted in August 2012, and it is expected that production from the field will cease during the first quarter of 2014.",1272071,2013-05-01
GOLIAT,Development,Goliat is an oilfield located about 50 kilometres southeast of the Snøhvit field in the Barents Sea. The water depth in the area is 360 – 420 metres. Goliat will be developed with a circular FPSO (Sevan 1000) including eight subsea templates with a total of 32 well slots. The subsea templates will be tied back to the FPSO with an integrated storage and loading system.,5774394,2013-05-08
GOLIAT,Reservoir,The Goliat reservoirs contain oil and thin gas caps in Triassic sandstones of the Kapp Toscana Group (Realgrunnen subgroup) and the Kobbe Formation. The reservoirs lie at a depth of 1 100 – 1 800 metres in a complex and segmented structure.,5774394,2012-08-23
GOLIAT,Recovery strategy,Goliat will be produced using water injection as pressure support. Associated gas will be re-injected until a possible export solution for gas through the Snøhvit pipeline to Melkøya is in place.,5774394,2013-05-08
GOLIAT,Transport,The oil will be offloaded to shuttle tankers and transported to the market.,5774394,2013-05-08
GOLIAT,Status,Production is planned to start late in 2014.,5774394,2013-05-08
GRANE,Development,"Grane is an oil field located east of the Balder field in the central part of the North Sea. The water depth is 128 metres. The field has been developed with an integrated accommodation, drilling and processing facility with a fixed steel jacket. The facility has 40 well slots.",1035937,2012-08-23
GRANE,Reservoir,"The field consists of one main reservoir structure and some additional segments. The reservoir consists mostly of sandstones in the Heimdal Formation of Paleocene age with very good reservoir characteristics. The reservoir lies at a depth of approximately 1 700 metres, and there is full communication in the reservoir. The oil has high viscosity.",1035937,2013-05-01
GRANE,Recovery strategy,"The recovery mechanism is gas injection at the top of the structure, and horizontal production wells at the bottom of the oil zone. From December 2010 Grane terminated gas import from the Heimdal gas centre. Only the produced gas is being re-injected into the reservoir. Water injection started in February 2011. Oil recovery will be maintained by expansion of the gas cap, water injection and drilling of deep side-tracks from existing producers.",1035937,2013-05-01
GRANE,Transport,Oil from Grane is transported by pipeline to the Sture terminal for storage and export.,1035937,2012-08-23
GRANE,Status,"Several new wells are being planned, most of them as multi-lateral wells. It has been decided to install a permanent reservoir monitoring system on the seabed to increase recovery with improved seismic.",1035937,2013-05-01
GUDRUN,Development,"Gudrun is located 50 kilometres north of Sleipner. The water depth is approximately 110 metres. Gudrun is being developed with a fixed facility with a steel jacket and first-stage processing, tied back to Sleipner A through two dedicated pipelines; one for oil and one for rich gas.",18116481,2013-05-08
GUDRUN,Reservoir,The reservoirs contain oil and gas in Upper Jurassic sandstones in the Draupne Formation and gas in the Middle Jurassic Hugin Formation. The reservoirs lie at a depth of 4 000 - 4 760 metres.,18116481,2013-05-08
GUDRUN,Recovery strategy,Gudrun will be produced by natural pressure depletion.,18116481,2013-05-08
GUDRUN,Transport,Oil and gas will be transported to the Sleipner A facility for further processing and export.,18116481,2012-08-23
GUDRUN,Status,Production is planned to start in 2014.,18116481,2012-08-23
GULLFAKS,Development,"Gullfaks is an oil field located in the Tampen area in the northern part of the North Sea. The water depth in the area is 130 – 220 metres. The field has been developed with three integrated processing, drilling and accommodation facilities with concrete bases and steel topsides (Gullfaks A, B and C). Gullfaks B has a simplified processing plant with only first stage separation. Gullfaks A and C receive and process oil and gas from Gullfaks Sør, Gimle and Visund Sør. The facilities are also involved in production and transport from the Tordis, Vigdis and Visund fields. Production from Tordis is processed in a separate facility on Gullfaks C. A PDO for Gullfaks C was approved in June 1985, a PDO for Gullfaks Vest was approved in January 1993, and recovery from the Lunde Formation was approved in November 1995. In December 2005, an amended PDO for the Gullfaks field covering prospects and small discoveries which can be drilled and produced from existing facilities was approved.",43686,2013-05-01
GULLFAKS,Reservoir,"The Gullfaks reservoirs consist of Middle Jurassic sandstones of the Brent Group, and Lower Jurassic and Upper Triassic sandstones of the Cook, Statfjord and Lunde Formations. The reservoirs lie at a depth of 1 700 – 2 000 metres. The Gullfaks reservoirs are located in rotated fault blocks in the west and a structural horst in the east, with a highly faulted area in-between.",43686,2013-05-01
GULLFAKS,Recovery strategy,"The drive mechanisms are water injection, gas injection and water/alternating gas injection (WAG). The recovery strategy varies between the drainage areas on the field, with water injection as the main strategy.",43686,2013-05-01
GULLFAKS,Transport,Oil is exported from Gullfaks A and Gullfaks C via loading buoys onto tankers. Rich gas is transported through Statpipe for further processing at Kårstø.,43686,2013-05-01
GULLFAKS,Status,Evaluation of lifetime extension of Gullfaks is ongoing. This includes upgrades to the drilling facilities. Increased oil recovery through optimized distribution of gas and water injection in the various areas of the field is a major challenge. The licensees are also evaluating injection of silica gel as a method to increase oil recovery from Gullfaks. Studies are ongoing on future tie-in of Snorre oil export. Future tie-in of export oil from Snorre is being studied.,43686,2013-05-01
GULLFAKS SØR,Development,"Gullfaks Sør is located to the south of Gullfaks in the northern part of the North Sea. It has been developed with a total of 12 subsea templates tied back to the Gullfaks A and Gullfaks C facilities. Gullfaks Sør has been developed in two phases. The PDO for Phase 1 included production of oil and condensate from the 34/10-2 Gullfaks Sør, 34/10-17 Rimfaks and 34/10-37 Gullveig deposits. The PDO for Phase 2 was approved in June 1998 and covered production of gas from the Brent Group in the Gullfaks Sør deposit. In 2004, the 34/10-47 Gulltopp discovery was included in Gullfaks Sør. Gulltopp is produced through an extended reach production well from Gullfaks A. A PDO for the 33/12-8 A Skinfaks discovery and Rimfaks IOR was approved in February 2005. The development included a new subsea template and a satellite well. An amended PDO for the redevelopment of Gullfaks Sør Statfjord Formation was approved in October 2012.",43699,2013-05-01
GULLFAKS SØR,Reservoir,"The Gullfaks Sør reservoirs consist of Middle Jurassic sandstones of the Brent Group and Lower Jurassic and Upper Triassic sandstones of the Cook, Statfjord and Lunde Formations. The reservoirs lie 2 400 - 3 400 metres below the sea level in rotated fault blocks. The reservoirs in the Gullfaks Sør deposit are heavily segmented, with many internal faults, and the Statfjord Formation has poor flow characteristics. The other deposits show good reservoir qualities.",43699,2012-08-23
GULLFAKS SØR,Recovery strategy,"Recovery from the Brent reservoir in Gullfaks Sør is driven by pressure depletion after gas injection ceased in 2009. The Brent reservoir in Rimfaks is produced by full pressure maintenance by gas injection, whereas the Statfjord Formation has partial pressure support from gas injection. The Gullveig and Gulltopp deposits are recovered by pressure depletion and natural aquifer drive.",43699,2013-05-01
GULLFAKS SØR,Transport,"The oil is transported to Gullfaks A for processing, storage and further transport by tankers. Rich gas is processed on Gullfaks C and then exported through Statpipe to Kårstø.",43699,2013-05-01
