prlName,prlTransferDateValidFrom,prlTransferDirection,prlTransferKind,cmpLongName,prlTransferredInterest,prlTransferSdfi,prlNpdidLicence,cmpNpdidCompany,prlTransferDateUpdated,dateSyncNPD
001 B,2007-10-01,TO,CHANGE OF COMPANY NAME,StatoilHydro ASA,50.00000,NULL,917266,4511854,9999-12-31,2013-05-08
001 B,2007-06-20,FROM,CHANGE OF COMPANY NAME,Det Norske Oljeselskap AS,35.00000,NULL,917266,1340609,9999-12-31,2013-05-08
001 B,2007-06-20,TO,CHANGE OF COMPANY NAME,Det Norske Oljeselskap ASA (old),35.00000,NULL,917266,4468177,9999-12-31,2013-05-08
001 B,2006-01-01,FROM,TRANSFER,Det Norske Oljeselskap AS,15.00000,NULL,917266,1340609,9999-12-31,2013-05-08
001 B,2006-01-01,TO,TRANSFER,PA Resources Norway AS,15.00000,NULL,917266,3986418,9999-12-31,2013-05-08
001 B,2005-01-01,FROM,TRANSFER,ExxonMobil Exploration & Production Norway AS,50.00000,NULL,917266,2835212,9999-12-31,2013-05-08
001 B,2005-01-01,TO,TRANSFER,Det Norske Oljeselskap AS,50.00000,NULL,917266,1340609,9999-12-31,2013-05-08
001 B,2004-10-01,FROM,CHANGE OF COMPANY NAME,Esso Exploration and Production Norway A/S,50.00000,NULL,917266,353,9999-12-31,2013-05-08
001 B,2004-10-01,TO,CHANGE OF COMPANY NAME,ExxonMobil Exploration & Production Norway AS,50.00000,NULL,917266,2835212,9999-12-31,2013-05-08
001 B,2003-05-28,FROM,TRANSFER,Enterprise Oil Norge AS,50.00000,NULL,917266,1853786,9999-12-31,2013-05-08
001 B,2003-05-28,TO,TRANSFER,Statoil ASA (old),50.00000,NULL,917266,1622484,9999-12-31,2013-05-08
001 B,2001-12-31,FROM,CHANGE OF COMPANY NAME,Enterprise Oil Norwegian AS,50.00000,NULL,917266,342,9999-12-31,2013-05-08
001 B,2001-12-31,TO,CHANGE OF COMPANY NAME,Enterprise Oil Norge AS,50.00000,NULL,917266,1853786,9999-12-31,2013-05-08
005,1978-02-24,FROM,UNKNOWN,Amerada Hess Norge AS,10.20000,NULL,20796,67,9999-12-31,2013-05-08
005,1978-02-24,FROM,UNKNOWN,Amoco Norway Oil Company,10.20000,NULL,20796,78,9999-12-31,2013-05-08
005,1978-02-24,FROM,UNKNOWN,Norwegian Oil Consortium A/S & Co,5.40000,NULL,20796,518,9999-12-31,2013-05-08
005,1978-02-24,FROM,UNKNOWN,Texas Eastern Norwegian Inc.,10.20000,NULL,20796,837,9999-12-31,2013-05-08
005,1978-02-24,TO,UNKNOWN,Union Norge A/S,36.00000,NULL,20796,881,9999-12-31,2013-05-08
005,1977-01-20,FROM,UNKNOWN,Amerada Hess Norge AS,18.13300,NULL,20796,67,9999-12-31,2013-05-08
005,1977-01-20,FROM,UNKNOWN,Amoco Norway Oil Company,18.13400,NULL,20796,78,9999-12-31,2013-05-08
005,1977-01-20,FROM,UNKNOWN,Norwegian Oil Consortium A/S & Co,9.60000,NULL,20796,518,9999-12-31,2013-05-08
005,1977-01-20,FROM,UNKNOWN,Texas Eastern Norwegian Inc.,18.13300,NULL,20796,837,9999-12-31,2013-05-08
005,1977-01-20,TO,UNKNOWN,Den norske stats oljeselskap a.s,10.00000,NULL,20796,749,9999-12-31,2013-05-08
005,1977-01-20,TO,UNKNOWN,Union Norge A/S,54.00000,NULL,20796,881,9999-12-31,2013-05-08
006,2003-10-28,FROM,TRANSFER,BP Norge AS,28.33333,NULL,20804,2052695,9999-12-31,2013-05-08
006,2003-10-28,FROM,TRANSFER,Enterprise Oil Norge AS,28.33333,NULL,20804,1853786,9999-12-31,2013-05-08
006,2003-10-28,TO,TRANSFER,Total E&P Norge AS,56.66667,NULL,20804,2410708,9999-12-31,2013-05-08
006,2003-05-06,FROM,CHANGE OF COMPANY NAME,TotalFinaElf Exploration Norge AS,43.33333,NULL,20804,1340884,9999-12-31,2013-05-08
006,2003-05-06,TO,CHANGE OF COMPANY NAME,Total E&P Norge AS,43.33333,NULL,20804,2410708,9999-12-31,2013-05-08
006,2002-03-12,FROM,CHANGE OF COMPANY NAME,BP Amoco Norge AS,28.33333,NULL,20804,982372,9999-12-31,2013-05-08
006,2002-03-12,TO,CHANGE OF COMPANY NAME,BP Norge AS,28.33333,NULL,20804,2052695,9999-12-31,2013-05-08
006,2001-12-31,FROM,CHANGE OF COMPANY NAME,Enterprise Oil Norwegian AS,28.33333,NULL,20804,342,9999-12-31,2013-05-08
006,2001-12-31,TO,CHANGE OF COMPANY NAME,Enterprise Oil Norge AS,28.33333,NULL,20804,1853786,9999-12-31,2013-05-08
006,2001-02-15,FROM,TRANSFER,Amerada Hess Norge AS,28.33333,NULL,20804,67,9999-12-31,2013-05-08
006,2001-02-15,TO,TRANSFER,TotalFinaElf Exploration Norge AS,28.33333,NULL,20804,1340884,9999-12-31,2013-05-08
006,2000-07-24,FROM,CHANGE OF COMPANY NAME,Elf Petroleum Norge AS,15.00000,NULL,20804,298,9999-12-31,2013-05-08
006,2000-07-24,TO,CHANGE OF COMPANY NAME,TotalFinaElf Exploration Norge AS,15.00000,NULL,20804,1340884,9999-12-31,2013-05-08
006,1999-12-23,FROM,MERGER/TAKEOVER,Amoco Norway Oil Company,28.33333,NULL,20804,78,9999-12-31,2013-05-08
006,1999-12-23,TO,MERGER/TAKEOVER,BP Amoco Norge AS,28.33333,NULL,20804,982372,9999-12-31,2013-05-08
006,1992-02-25,FROM,UNKNOWN,Norwegian Oil Consortium A/S & Co,15.00000,NULL,20804,518,9999-12-31,2013-05-08
006,1992-02-25,TO,UNKNOWN,Elf Petroleum Norge AS,15.00000,NULL,20804,298,9999-12-31,2013-05-08
006,1989-04-14,FROM,UNKNOWN,Texas Eastern Norwegian Inc.,28.33333,NULL,20804,837,9999-12-31,2013-05-08
006,1989-04-14,TO,UNKNOWN,Enterprise Oil Norwegian AS,28.33333,NULL,20804,342,9999-12-31,2013-05-08
006 B,2010-01-02,FROM,TRANSFER,Enterprise Oil Norge AS,28.33333,NULL,1333048,1853786,9999-12-31,2013-05-08
006 B,2010-01-02,TO,TRANSFER,Hess Norge AS,28.33333,NULL,1333048,4038735,9999-12-31,2013-05-08
006 B,2010-01-01,FROM,TRANSFER,Total E&P Norge AS,15.00000,NULL,1333048,2410708,9999-12-31,2013-05-08
006 B,2010-01-01,TO,TRANSFER,Hess Norge AS,7.50000,NULL,1333048,4038735,9999-12-31,2013-05-08
006 B,2010-01-01,TO,TRANSFER,BP Norge AS,7.50000,NULL,1333048,2052695,9999-12-31,2013-05-08
006 B,2006-06-26,FROM,CHANGE OF COMPANY NAME,Amerada Hess Norge AS,28.33333,NULL,1333048,67,9999-12-31,2013-05-08
006 B,2006-06-26,TO,CHANGE OF COMPANY NAME,Hess Norge AS,28.33333,NULL,1333048,4038735,9999-12-31,2013-05-08
006 B,2003-05-06,FROM,CHANGE OF COMPANY NAME,TotalFinaElf Exploration Norge AS,15.00000,NULL,1333048,1340884,9999-12-31,2013-05-08
006 B,2003-05-06,TO,CHANGE OF COMPANY NAME,Total E&P Norge AS,15.00000,NULL,1333048,2410708,9999-12-31,2013-05-08
006 B,2002-03-12,FROM,CHANGE OF COMPANY NAME,BP Amoco Norge AS,28.33333,NULL,1333048,982372,9999-12-31,2013-05-08
006 B,2002-03-12,TO,CHANGE OF COMPANY NAME,BP Norge AS,28.33333,NULL,1333048,2052695,9999-12-31,2013-05-08
006 B,2001-12-31,FROM,CHANGE OF COMPANY NAME,Enterprise Oil Norwegian AS,28.33333,NULL,1333048,342,9999-12-31,2013-05-08
006 B,2001-12-31,TO,CHANGE OF COMPANY NAME,Enterprise Oil Norge AS,28.33333,NULL,1333048,1853786,9999-12-31,2013-05-08
006 C,2012-12-31,FROM,TRANSFER,Norwegian Energy Company ASA,15.00000,NULL,1333089,4530695,9999-12-31,2013-05-08
006 C,2012-12-31,TO,TRANSFER,Noreco Norway AS,15.00000,NULL,1333089,22223020,9999-12-31,2013-05-08
006 C,2008-01-01,FROM,TRANSFER,Norwegian Energy Company ASA,10.00000,NULL,1333089,4530695,9999-12-31,2013-05-08
006 C,2008-01-01,TO,TRANSFER,Faroe Petroleum Norge AS,10.00000,NULL,1333089,4062883,9999-12-31,2013-05-08
006 C,2007-07-11,FROM,CHANGE OF COMPANY NAME,Norwegian Energy Company AS,25.00000,NULL,1333089,3482246,9999-12-31,2013-05-08
006 C,2007-07-11,TO,CHANGE OF COMPANY NAME,Norwegian Energy Company ASA,25.00000,NULL,1333089,4530695,9999-12-31,2013-05-08
006 C,2006-01-01,FROM,TRANSFER,Lundin Norway AS,25.00000,NULL,1333089,2767314,9999-12-31,2013-05-08
006 C,2006-01-01,TO,TRANSFER,Norwegian Energy Company AS,25.00000,NULL,1333089,3482246,9999-12-31,2013-05-08
006 C,2004-01-01,FROM,TRANSFER,Det Norske Oljeselskap AS,100.00000,NULL,1333089,1340609,9999-12-31,2013-05-08
006 C,2004-01-01,TO,TRANSFER,Lundin Norway AS,100.00000,NULL,1333089,2767314,9999-12-31,2013-05-08
006 C,2003-01-21,FROM,TRANSFER,Gaz de France Norge AS,14.16600,NULL,1333089,1628733,9999-12-31,2013-05-08
006 C,2003-01-21,FROM,TRANSFER,Enterprise Oil Norge AS,14.16733,NULL,1333089,1853786,9999-12-31,2013-05-08
006 C,2003-01-21,FROM,TRANSFER,TotalFinaElf Exploration Norge AS,15.00000,NULL,1333089,1340884,9999-12-31,2013-05-08
006 C,2003-01-21,FROM,TRANSFER,BP Norge AS,18.33333,NULL,1333089,2052695,9999-12-31,2013-05-08
006 C,2003-01-21,FROM,TRANSFER,Amerada Hess Norge AS,28.33333,NULL,1333089,67,9999-12-31,2013-05-08
006 C,2003-01-21,TO,TRANSFER,Det Norske Oljeselskap AS,90.00000,NULL,1333089,1340609,9999-12-31,2013-05-08
006 C,2002-03-12,FROM,CHANGE OF COMPANY NAME,BP Amoco Norge AS,18.33333,NULL,1333089,982372,9999-12-31,2013-05-08
006 C,2002-03-12,TO,CHANGE OF COMPANY NAME,BP Norge AS,18.33333,NULL,1333089,2052695,9999-12-31,2013-05-08
006 C,2001-12-31,FROM,CHANGE OF COMPANY NAME,Enterprise Oil Norwegian AS,14.16733,NULL,1333089,342,9999-12-31,2013-05-08
006 C,2001-12-31,TO,CHANGE OF COMPANY NAME,Enterprise Oil Norge AS,14.16733,NULL,1333089,1853786,9999-12-31,2013-05-08
006 C,2001-12-18,FROM,TRANSFER,Enterprise Oil Norwegian AS,14.16600,NULL,1333089,342,9999-12-31,2013-05-08
006 C,2001-12-18,TO,TRANSFER,Gaz de France Norge AS,14.16600,NULL,1333089,1628733,9999-12-31,2013-05-08
006 C,2001-02-02,FROM,UNKNOWN,BP Amoco Norge AS,10.00000,NULL,1333089,982372,9999-12-31,2013-05-08
006 C,2001-02-02,TO,UNKNOWN,Det Norske Oljeselskap AS,10.00000,NULL,1333089,1340609,9999-12-31,2013-05-08
006 D,2008-03-01,FROM,TRANSFER,Norwegian Energy Company ASA,10.00000,NULL,4909688,4530695,9999-12-31,2013-05-08
006 D,2008-03-01,TO,TRANSFER,Faroe Petroleum Norge AS,10.00000,NULL,4909688,4062883,9999-12-31,2013-05-08
007,1987-01-01,FROM,UNKNOWN,Cofranord A/S,1.21600,NULL,20812,199,9999-12-31,2013-05-08
007,1987-01-01,TO,UNKNOWN,Norminol AS,1.21600,NULL,20812,529,9999-12-31,2013-05-08
007,1980-06-02,FROM,UNKNOWN,OMV Norge A/S,11.40000,NULL,20812,925,9999-12-31,2013-05-08
007,1980-06-02,TO,UNKNOWN,Norsk Hydro Produksjon AS,11.40000,NULL,20812,430,9999-12-31,2013-05-08
007,1977-07-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,11.40000,NULL,20812,430,9999-12-31,2013-05-08
007,1977-07-01,FROM,UNKNOWN,Elf Norge A/S,21.58400,NULL,20812,287,9999-12-31,2013-05-08
007,1977-07-01,FROM,UNKNOWN,Aquitaine Norge A/S,10.79200,NULL,20812,111,9999-12-31,2013-05-08
007,1977-07-01,TO,UNKNOWN,Elf Aquitaine Norge A/S,32.37600,NULL,20812,331,9999-12-31,2013-05-08
007,1977-07-01,TO,UNKNOWN,OMV Norge A/S,11.40000,NULL,20812,925,9999-12-31,2013-05-08
007,1967-08-31,FROM,UNKNOWN,Petropar Norge A/S,31.95000,NULL,20812,650,9999-12-31,2013-05-08
007,1967-08-31,FROM,UNKNOWN,Total Norge AS,5.11200,NULL,20812,848,9999-12-31,2013-05-08
007,1967-08-31,FROM,UNKNOWN,Eurafrep Norge A/S,0.57600,NULL,20812,364,9999-12-31,2013-05-08
007,1967-08-31,FROM,UNKNOWN,Coparex Norge A/S,0.50400,NULL,20812,243,9999-12-31,2013-05-08
007,1967-08-31,FROM,UNKNOWN,Cofranord A/S,0.38400,NULL,20812,199,9999-12-31,2013-05-08
007,1967-08-31,TO,UNKNOWN,Norsk Hydro Produksjon AS,16.80000,NULL,20812,430,9999-12-31,2013-05-08
007,1967-08-31,TO,UNKNOWN,Elf Norge A/S,21.58400,NULL,20812,287,9999-12-31,2013-05-08
007,1967-08-31,TO,UNKNOWN,Aquitaine Norge A/S,0.14200,NULL,20812,111,9999-12-31,2013-05-08
007,1967-06-20,FROM,UNKNOWN,Auxirap Norge A/S,21.30000,NULL,20812,133,9999-12-31,2013-05-08
007,1967-06-20,TO,UNKNOWN,Petropar Norge A/S,21.30000,NULL,20812,650,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Total Norge AS,4.95000,NULL,20812,848,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Petropar Norge A/S,2.47500,NULL,20812,650,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,2.50000,NULL,20812,430,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Eurafrep Norge A/S,1.10000,NULL,20812,364,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Coparex Norge A/S,0.52500,NULL,20812,243,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Cofranord A/S,1.02500,NULL,20812,199,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Auxirap Norge A/S,4.95000,NULL,20812,133,9999-12-31,2013-05-08
007,1967-01-01,FROM,UNKNOWN,Aquitaine Norge A/S,2.47500,NULL,20812,111,9999-12-31,2013-05-08
007,1967-01-01,TO,UNKNOWN,Phillips Petroleum Company Norway,14.78000,NULL,20812,694,9999-12-31,2013-05-08
007,1967-01-01,TO,UNKNOWN,Norsk Agip  AS,5.22000,NULL,20812,45,9999-12-31,2013-05-08
008,2001-05-09,FROM,TRANSFER,Norsk Hydro Produksjon AS,50.00000,NULL,20820,430,9999-12-31,2013-05-08
008,2001-05-09,TO,TRANSFER,Amerada Hess Norge AS,50.00000,NULL,20820,67,9999-12-31,2013-05-08
008,2001-01-11,FROM,MERGER/TAKEOVER,Saga Petroleum ASA,50.00000,NULL,20820,716,9999-12-31,2013-05-08
008,2001-01-11,TO,MERGER/TAKEOVER,Norsk Hydro Produksjon AS,50.00000,NULL,20820,430,9999-12-31,2013-05-08
008,1995-06-19,FROM,UNKNOWN,Saga Petroleum ASA,50.00000,NULL,20820,716,9999-12-31,2013-05-08
008,1995-06-19,TO,UNKNOWN,Amerada Hess Norge AS,50.00000,NULL,20820,67,9999-12-31,2013-05-08
008,1994-12-21,FROM,UNKNOWN,Elf Petroleum Norge AS,32.37600,NULL,20820,298,9999-12-31,2013-05-08
008,1994-12-21,FROM,UNKNOWN,Elf Rex Norge AS,4.53600,NULL,20820,320,9999-12-31,2013-05-08
008,1994-12-21,FROM,UNKNOWN,Norminol AS,46.30800,NULL,20820,529,9999-12-31,2013-05-08
008,1994-12-21,FROM,UNKNOWN,Phillips Petroleum Company Norway,14.78000,NULL,20820,694,9999-12-31,2013-05-08
008,1994-12-21,FROM,UNKNOWN,Den norske stats oljeselskap a.s,2.00000,NULL,20820,749,9999-12-31,2013-05-08
008,1994-12-21,TO,UNKNOWN,Saga Petroleum ASA,100.00000,NULL,20820,716,9999-12-31,2013-05-08
008,1994-01-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,12.40000,NULL,20820,430,9999-12-31,2013-05-08
008,1994-01-01,FROM,UNKNOWN,Total Norge AS,27.47200,NULL,20820,848,9999-12-31,2013-05-08
008,1994-01-01,FROM,UNKNOWN,Norsk Agip  AS,5.22000,NULL,20820,45,9999-12-31,2013-05-08
008,1994-01-01,TO,UNKNOWN,Norminol AS,45.09200,NULL,20820,529,9999-12-31,2013-05-08
008,1992-07-15,FROM,UNKNOWN,Elf Rep Norge A/S,1.82400,NULL,20820,309,9999-12-31,2013-05-08
008,1992-07-15,TO,UNKNOWN,Elf Rex Norge AS,1.82400,NULL,20820,320,9999-12-31,2013-05-08
008,1992-03-26,FROM,UNKNOWN,Elf Aquitaine Norge A/S,32.37600,NULL,20820,331,9999-12-31,2013-05-08
008,1992-03-26,FROM,UNKNOWN,Norsk Hydro Produksjon AS,11.28400,NULL,20820,430,9999-12-31,2013-05-08
008,1992-03-26,TO,UNKNOWN,Elf Petroleum Norge AS,32.37600,NULL,20820,298,9999-12-31,2013-05-08
008,1992-03-26,TO,UNKNOWN,Total Norge AS,11.28400,NULL,20820,848,9999-12-31,2013-05-08
008,1990-11-22,FROM,UNKNOWN,Cofranord A/S,1.21600,NULL,20820,199,9999-12-31,2013-05-08
008,1990-11-22,FROM,UNKNOWN,Coparex Norge A/S,2.71200,NULL,20820,243,9999-12-31,2013-05-08
008,1990-11-22,FROM,UNKNOWN,Eurafrep Norge A/S,1.82400,NULL,20820,364,9999-12-31,2013-05-08
008,1990-11-22,TO,UNKNOWN,Elf Rep Norge A/S,1.82400,NULL,20820,309,9999-12-31,2013-05-08
008,1990-11-22,TO,UNKNOWN,Elf Rex Norge AS,2.71200,NULL,20820,320,9999-12-31,2013-05-08
008,1990-11-22,TO,UNKNOWN,Norminol AS,1.21600,NULL,20820,529,9999-12-31,2013-05-08
008,1990-01-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,1.11600,NULL,20820,430,9999-12-31,2013-05-08
008,1990-01-01,TO,UNKNOWN,Coparex Norge A/S,1.11600,NULL,20820,243,9999-12-31,2013-05-08
008,1983-12-31,FROM,UNKNOWN,OMV Norge A/S,11.40000,NULL,20820,925,9999-12-31,2013-05-08
008,1983-12-31,TO,UNKNOWN,Norsk Hydro Produksjon AS,11.40000,NULL,20820,430,9999-12-31,2013-05-08
008,1980-06-02,FROM,UNKNOWN,Norsk Hydro Produksjon AS,13.40000,NULL,20820,430,9999-12-31,2013-05-08
008,1980-06-02,TO,UNKNOWN,Den norske stats oljeselskap a.s,2.00000,NULL,20820,749,9999-12-31,2013-05-08
008,1980-06-02,TO,UNKNOWN,OMV Norge A/S,11.40000,NULL,20820,925,9999-12-31,2013-05-08
008,1977-07-01,FROM,UNKNOWN,Elf Norge A/S,21.58400,NULL,20820,287,9999-12-31,2013-05-08
008,1977-07-01,FROM,UNKNOWN,Aquitaine Norge A/S,10.79200,NULL,20820,111,9999-12-31,2013-05-08
008,1977-07-01,TO,UNKNOWN,Elf Aquitaine Norge A/S,32.37600,NULL,20820,331,9999-12-31,2013-05-08
008,1972-01-01,FROM,UNKNOWN,Cofranord A/S,0.38400,NULL,20820,199,9999-12-31,2013-05-08
008,1972-01-01,FROM,UNKNOWN,Coparex Norge A/S,0.50400,NULL,20820,243,9999-12-31,2013-05-08
008,1972-01-01,FROM,UNKNOWN,Elf Norge A/S,10.36600,NULL,20820,287,9999-12-31,2013-05-08
008,1972-01-01,FROM,UNKNOWN,Eurafrep Norge A/S,0.57600,NULL,20820,364,9999-12-31,2013-05-08
008,1972-01-01,FROM,UNKNOWN,Total Norge AS,5.11200,NULL,20820,848,9999-12-31,2013-05-08
008,1972-01-01,TO,UNKNOWN,Aquitaine Norge A/S,0.14200,NULL,20820,111,9999-12-31,2013-05-08
008,1972-01-01,TO,UNKNOWN,Norsk Hydro Produksjon AS,16.80000,NULL,20820,430,9999-12-31,2013-05-08
008,1967-11-30,FROM,UNKNOWN,Petropar Norge A/S,31.95000,NULL,20820,650,9999-12-31,2013-05-08
008,1967-11-30,TO,UNKNOWN,Elf Norge A/S,31.95000,NULL,20820,287,9999-12-31,2013-05-08
008,1967-06-20,FROM,UNKNOWN,Auxirap Norge A/S,21.30000,NULL,20820,133,9999-12-31,2013-05-08
008,1967-06-20,TO,UNKNOWN,Petropar Norge A/S,21.30000,NULL,20820,650,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Total Norge AS,5.32500,NULL,20820,848,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Petropar Norge A/S,2.66300,NULL,20820,650,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,2.50000,NULL,20820,430,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Eurafrep Norge A/S,0.60000,NULL,20820,364,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Coparex Norge A/S,0.52500,NULL,20820,243,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Cofranord A/S,0.40000,NULL,20820,199,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Auxirap Norge A/S,5.32500,NULL,20820,133,9999-12-31,2013-05-08
008,1967-01-01,FROM,UNKNOWN,Aquitaine Norge A/S,2.66200,NULL,20820,111,9999-12-31,2013-05-08
008,1967-01-01,TO,UNKNOWN,Phillips Petroleum Company Norway,14.78000,NULL,20820,694,9999-12-31,2013-05-08
008,1967-01-01,TO,UNKNOWN,Norsk Agip  AS,5.22000,NULL,20820,45,9999-12-31,2013-05-08
009,1997-01-01,FROM,UNKNOWN,Elf Rex Norge AS,3.42000,NULL,20828,320,9999-12-31,2013-05-08
009,1997-01-01,TO,UNKNOWN,Elf Petroleum Norge AS,3.42000,NULL,20828,298,9999-12-31,2013-05-08
009,1994-12-27,FROM,UNKNOWN,Norsk Agip  AS,5.22000,NULL,20828,45,9999-12-31,2013-05-08
009,1994-12-27,TO,UNKNOWN,Elf Petroleum Norge AS,5.22000,NULL,20828,298,9999-12-31,2013-05-08
009,1994-03-01,FROM,UNKNOWN,Norminol AS,1.21600,NULL,20828,529,9999-12-31,2013-05-08
009,1994-03-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,26.80000,NULL,20828,430,9999-12-31,2013-05-08
009,1994-03-01,TO,UNKNOWN,Elf Petroleum Norge AS,28.01600,NULL,20828,298,9999-12-31,2013-05-08
009,1992-07-15,FROM,UNKNOWN,Elf Aquitaine Norge A/S,32.37600,NULL,20828,331,9999-12-31,2013-05-08
009,1992-07-15,FROM,UNKNOWN,Elf Rep Norge A/S,1.82400,NULL,20828,309,9999-12-31,2013-05-08
009,1992-07-15,TO,UNKNOWN,Elf Rex Norge AS,1.82400,NULL,20828,320,9999-12-31,2013-05-08
009,1992-07-15,TO,UNKNOWN,Elf Petroleum Norge AS,32.37600,NULL,20828,298,9999-12-31,2013-05-08
009,1990-11-22,FROM,UNKNOWN,Eurafrep Norge A/S,1.82400,NULL,20828,364,9999-12-31,2013-05-08
009,1990-11-22,FROM,UNKNOWN,Coparex Norge A/S,1.59600,NULL,20828,243,9999-12-31,2013-05-08
009,1990-11-22,TO,UNKNOWN,Elf Rex Norge AS,1.59600,NULL,20828,320,9999-12-31,2013-05-08
009,1990-11-22,TO,UNKNOWN,Elf Rep Norge A/S,1.82400,NULL,20828,309,9999-12-31,2013-05-08
009,1987-01-01,FROM,UNKNOWN,Cofranord A/S,1.21600,NULL,20828,199,9999-12-31,2013-05-08
009,1987-01-01,TO,UNKNOWN,Norminol AS,1.21600,NULL,20828,529,9999-12-31,2013-05-08
009,1980-06-02,FROM,UNKNOWN,OMV Norge A/S,11.40000,NULL,20828,925,9999-12-31,2013-05-08
009,1980-06-02,TO,UNKNOWN,Norsk Hydro Produksjon AS,11.40000,NULL,20828,430,9999-12-31,2013-05-08
009,1977-07-01,FROM,UNKNOWN,Aquitaine Norge A/S,10.79200,NULL,20828,111,9999-12-31,2013-05-08
009,1977-07-01,FROM,UNKNOWN,Elf Norge A/S,21.58400,NULL,20828,287,9999-12-31,2013-05-08
009,1977-07-01,FROM,UNKNOWN,Norsk Hydro Produksjon AS,11.40000,NULL,20828,430,9999-12-31,2013-05-08
009,1977-07-01,TO,UNKNOWN,Elf Aquitaine Norge A/S,32.37600,NULL,20828,331,9999-12-31,2013-05-08
009,1977-07-01,TO,UNKNOWN,OMV Norge A/S,11.40000,NULL,20828,925,9999-12-31,2013-05-08
009,1967-11-30,FROM,UNKNOWN,Cofranord A/S,0.38400,NULL,20828,199,9999-12-31,2013-05-08
009,1967-11-30,FROM,UNKNOWN,Coparex Norge A/S,0.50400,NULL,20828,243,9999-12-31,2013-05-08
009,1967-11-30,FROM,UNKNOWN,Eurafrep Norge A/S,0.57600,NULL,20828,364,9999-12-31,2013-05-08
