baaName,baaTransferDateValidFrom,baaTransferDirection,baaTransferKind,cmpLongName,baaTransferredInterest,baaTransferSdfi,baaNpdidBsnsArrArea,cmpNpdidCompany,baaTransferDateUpdated,dateSyncNPD
BLANE UNIT,2006-03-22,FROM,NULL,Paladin Resources Norge AS,11.70000,NULL,3437667,1577943,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,TO,NULL,Talisman Resources Norge AS,11.70000,NULL,3437667,3987574,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,FROM,NULL,Paladin Expro Limited,25.00120,NULL,3437667,3437686,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,TO,NULL,Talisman Expro Limited,25.00120,NULL,3437667,3987589,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,FROM,CHANGE OF COMPANY NAME,Spring Energy Norway AS,2.50000,NULL,40432,5072514,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,TO,CHANGE OF COMPANY NAME,Tullow Oil Norge AS,2.50000,NULL,40432,23173852,9999-12-31,2013-05-08
BRAGE UNIT,2011-07-01,FROM,TRANSFER,Altinex Oil Norway AS,12.25750,NULL,40432,4446230,9999-12-31,2013-05-08
BRAGE UNIT,2011-07-01,TO,TRANSFER,Core Energy AS,12.25750,NULL,40432,20460080,9999-12-31,2013-05-08
BRAGE UNIT,2011-01-01,FROM,TRANSFER,Petoro AS,14.25670,NULL,40432,1626839,9999-12-31,2013-05-08
BRAGE UNIT,2011-01-01,TO,TRANSFER,Faroe Petroleum Norge AS,14.25670,NULL,40432,4062883,9999-12-31,2013-05-08
BRAGE UNIT,2010-01-01,FROM,TRANSFER,Wintershall Norge ASA,2.50000,NULL,40432,5442509,9999-12-31,2013-05-08
BRAGE UNIT,2010-01-01,TO,TRANSFER,Spring Energy Norway AS,2.50000,NULL,40432,5072514,9999-12-31,2013-05-08
BRAGE UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,32.70000,NULL,40432,4511658,9999-12-31,2013-05-08
BRAGE UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,32.70000,NULL,40432,17237817,9999-12-31,2013-05-08
BRAGE UNIT,2009-10-01,FROM,CHANGE OF COMPANY NAME,VNG Norge (Operations) AS,4.44240,NULL,40432,5497155,9999-12-31,2013-05-08
BRAGE UNIT,2009-10-01,TO,CHANGE OF COMPANY NAME,VNG Norge AS,4.44240,NULL,40432,17237193,9999-12-31,2013-05-08
BRAGE UNIT,2009-05-26,FROM,CHANGE OF COMPANY NAME,Endeavour Energy Norge AS,4.44240,NULL,40432,3113213,9999-12-31,2013-05-08
BRAGE UNIT,2009-05-26,TO,CHANGE OF COMPANY NAME,VNG Norge (Operations) AS,4.44240,NULL,40432,5497155,9999-12-31,2013-05-08
BRAGE UNIT,2009-01-17,FROM,CHANGE OF COMPANY NAME,Revus Energy ASA,2.50000,NULL,40432,3431773,9999-12-31,2013-05-08
BRAGE UNIT,2009-01-17,TO,CHANGE OF COMPANY NAME,Wintershall Norge ASA,2.50000,NULL,40432,5442509,9999-12-31,2013-05-08
BRAGE UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,12.70000,NULL,40432,4511854,9999-12-31,2013-05-08
BRAGE UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,12.70000,NULL,40432,4511658,9999-12-31,2013-05-08
BRAGE UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),12.70000,NULL,40432,1622484,9999-12-31,2013-05-08
BRAGE UNIT,2007-10-01,FROM,NULL,Norsk Hydro Petroleum AS,20.00000,NULL,40432,4524355,9999-12-31,2013-05-08
BRAGE UNIT,2007-10-01,TO,NULL,StatoilHydro Petroleum AS,20.00000,NULL,40432,4511658,9999-12-31,2013-05-08
BRAGE UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,12.70000,NULL,40432,4511854,9999-12-31,2013-05-08
BRAGE UNIT,2007-01-01,FROM,NULL,Norsk Hydro Produksjon AS,20.00000,NULL,40432,430,9999-12-31,2013-05-08
BRAGE UNIT,2007-01-01,TO,NULL,Norsk Hydro Petroleum AS,20.00000,NULL,40432,4524355,9999-12-31,2013-05-08
BRAGE UNIT,2006-11-28,FROM,NULL,Altinex Oil AS,12.25750,NULL,40432,2835200,9999-12-31,2013-05-08
BRAGE UNIT,2006-11-28,TO,NULL,Altinex Oil Norway AS,12.25750,NULL,40432,4446230,9999-12-31,2013-05-08
BRAGE UNIT,2006-10-13,FROM,NULL,Talisman Resources Norge AS,20.00000,NULL,40432,3987574,9999-12-31,2013-05-08
BRAGE UNIT,2006-10-13,TO,NULL,Talisman Energy Norge AS,20.00000,NULL,40432,2425093,9999-12-31,2013-05-08
BRAGE UNIT,2006-03-22,FROM,NULL,Paladin Resources Norge AS,20.00000,NULL,40432,1577943,9999-12-31,2013-05-08
BRAGE UNIT,2006-03-22,TO,NULL,Talisman Resources Norge AS,20.00000,NULL,40432,3987574,9999-12-31,2013-05-08
BRAGE UNIT,2006-01-01,FROM,NULL,Eni Norge AS,12.25750,NULL,40432,2388594,9999-12-31,2013-05-08
BRAGE UNIT,2006-01-01,TO,NULL,Altinex Oil AS,12.25750,NULL,40432,2835200,9999-12-31,2013-05-08
BRAGE UNIT,2005-05-04,FROM,NULL,Revus Energy AS,2.50000,NULL,40432,2455850,9999-12-31,2013-05-08
BRAGE UNIT,2005-05-04,TO,NULL,Revus Energy ASA,2.50000,NULL,40432,3431773,9999-12-31,2013-05-08
BRAGE UNIT,2005-01-10,FROM,NULL,OER Oil AS,4.44240,NULL,40432,2258813,9999-12-31,2013-05-08
BRAGE UNIT,2005-01-10,TO,NULL,Endeavour Energy Norge AS,4.44240,NULL,40432,3113213,9999-12-31,2013-05-08
BRAGE UNIT,2005-01-01,FROM,NULL,ExxonMobil Exploration & Production Norway AS,13.84340,NULL,40432,2835212,9999-12-31,2013-05-08
BRAGE UNIT,2005-01-01,TO,NULL,Talisman Energy Norge AS,13.84340,NULL,40432,2425093,9999-12-31,2013-05-08
BRAGE UNIT,2004-10-01,FROM,NULL,Esso Exploration and Production Norway A/S,13.84340,NULL,40432,353,9999-12-31,2013-05-08
BRAGE UNIT,2004-10-01,TO,NULL,ExxonMobil Exploration & Production Norway AS,13.84340,NULL,40432,2835212,9999-12-31,2013-05-08
BRAGE UNIT,2004-01-01,FROM,NULL,Esso Exploration and Production Norway A/S,2.50000,NULL,40432,353,9999-12-31,2013-05-08
BRAGE UNIT,2004-01-01,TO,NULL,Revus Energy AS,2.50000,NULL,40432,2455850,9999-12-31,2013-05-08
BRAGE UNIT,2003-03-04,FROM,NULL,Fortum Petroleum AS,12.25750,NULL,40432,102714,9999-12-31,2013-05-08
BRAGE UNIT,2003-03-04,TO,NULL,Eni Norge AS,12.25750,NULL,40432,2388594,9999-12-31,2013-05-08
BRAGE UNIT,2002-03-19,FROM,NULL,Petoro AS,20.00000,NULL,40432,1626839,9999-12-31,2013-05-08
BRAGE UNIT,2002-03-19,TO,NULL,Paladin Resources Norge AS,20.00000,NULL,40432,1577943,9999-12-31,2013-05-08
BRAGE UNIT,2002-01-01,FROM,NULL,Norsk Hydro Produksjon AS,4.44240,NULL,40432,430,9999-12-31,2013-05-08
BRAGE UNIT,2002-01-01,TO,NULL,OER Oil AS,4.44240,NULL,40432,2258813,9999-12-31,2013-05-08
BRAGE UNIT,2001-06-17,FROM,NULL,SDØE,34.25670,NULL,40432,1623450,9999-12-31,2013-05-08
BRAGE UNIT,2001-06-17,TO,NULL,Petoro AS,34.25670,NULL,40432,1626839,9999-12-31,2013-05-08
BRAGE UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,46.95670,NULL,40432,749,9999-12-31,2013-05-08
BRAGE UNIT,2001-05-10,TO,NULL,Statoil ASA (old),12.70000,NULL,40432,1622484,9999-12-31,2013-05-08
BRAGE UNIT,2001-05-10,TO,NULL,SDØE,34.25670,NULL,40432,1623450,9999-12-31,2013-05-08
BRAGE UNIT,1999-04-13,FROM,NULL,Neste Petroleum AS,12.25750,NULL,40432,496,9999-12-31,2013-05-08
BRAGE UNIT,1999-04-13,TO,NULL,Fortum Petroleum AS,12.25750,NULL,40432,102714,9999-12-31,2013-05-08
BRAGE UNIT,1999-01-01,FROM,NULL,Total Norge AS,0.33320,NULL,40432,848,9999-12-31,2013-05-08
BRAGE UNIT,1999-01-01,FROM,NULL,Mobil Development Norway AS,0.49980,NULL,40432,474,9999-12-31,2013-05-08
BRAGE UNIT,1999-01-01,FROM,NULL,Saga Petroleum ASA,0.52480,NULL,40432,716,9999-12-31,2013-05-08
BRAGE UNIT,1999-01-01,FROM,NULL,Elf Petroleum Norge AS,0.66640,NULL,40432,298,9999-12-31,2013-05-08
BRAGE UNIT,1999-01-01,TO,NULL,Norsk Hydro Produksjon AS,2.02420,NULL,40432,430,9999-12-31,2013-05-08
ENOCH UNIT,2012-07-05,FROM,CHANGE OF COMPANY NAME,Altinex Oil Norway AS,4.36000,NULL,3437805,4446230,9999-12-31,2013-05-08
ENOCH UNIT,2012-07-05,TO,CHANGE OF COMPANY NAME,Noreco Norway AS,4.36000,NULL,3437805,22223020,9999-12-31,2013-05-08
ENOCH UNIT,2012-01-01,FROM,MERGER/TAKEOVER,Dana Petroleum (E & P) Limited,8.80000,NULL,3437805,3437824,9999-12-31,2013-05-08
ENOCH UNIT,2012-01-01,TO,MERGER/TAKEOVER,Dana Petroleum (BVUK) Limited,8.80000,NULL,3437805,20415896,9999-12-31,2013-05-08
ENOCH UNIT,2010-01-01,FROM,CHANGE OF COMPANY NAME,Bow Valley Petroleum (UK) Limited,12.00000,NULL,3437805,3437741,9999-12-31,2013-05-08
ENOCH UNIT,2010-01-01,TO,CHANGE OF COMPANY NAME,Dana Petroleum (BVUK) Limited,12.00000,NULL,3437805,20415896,9999-12-31,2013-05-08
ENOCH UNIT,2009-12-22,FROM,MERGER/TAKEOVER,Det norske oljeselskap ASA (old),2.00000,NULL,3437805,4539989,9999-12-31,2013-05-08
ENOCH UNIT,2009-12-22,TO,MERGER/TAKEOVER,Det norske oljeselskap ASA,2.00000,NULL,3437805,17342870,9999-12-31,2013-05-08
ENOCH UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,11.78000,NULL,3437805,4511658,9999-12-31,2013-05-08
ENOCH UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,11.78000,NULL,3437805,17237817,9999-12-31,2013-05-08
ENOCH UNIT,2009-01-02,FROM,TRANSFER,DONG E&P Norge AS,1.86000,NULL,3437805,4070011,9999-12-31,2013-05-08
ENOCH UNIT,2009-01-02,TO,TRANSFER,Faroe Petroleum Norge AS,1.86000,NULL,3437805,4062883,9999-12-31,2013-05-08
ENOCH UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,11.78000,NULL,3437805,4511854,9999-12-31,2013-05-08
ENOCH UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,11.78000,NULL,3437805,4511658,9999-12-31,2013-05-08
ENOCH UNIT,2008-01-01,FROM,NULL,Noil Energy ASA,2.00000,NULL,3437805,4539976,9999-12-31,2013-05-08
ENOCH UNIT,2008-01-01,TO,NULL,Det norske oljeselskap ASA (old),2.00000,NULL,3437805,4539989,9999-12-31,2013-05-08
ENOCH UNIT,2007-11-16,FROM,NULL,Det Norske Oljeselskap ASA (old),2.00000,NULL,3437805,4468177,9999-12-31,2013-05-08
ENOCH UNIT,2007-11-16,TO,NULL,Noil Energy ASA,2.00000,NULL,3437805,4539976,9999-12-31,2013-05-08
ENOCH UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),11.78000,NULL,3437805,1622484,9999-12-31,2013-05-08
ENOCH UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,11.78000,NULL,3437805,4511854,9999-12-31,2013-05-08
ENOCH UNIT,2007-06-22,FROM,NULL,Det Norske Oljeselskap AS,2.00000,NULL,3437805,1340609,9999-12-31,2013-05-08
ENOCH UNIT,2007-06-22,TO,NULL,Det Norske Oljeselskap ASA (old),2.00000,NULL,3437805,4468177,9999-12-31,2013-05-08
ENOCH UNIT,2006-11-28,FROM,NULL,Altinex Oil AS,4.36000,NULL,3437805,2835200,9999-12-31,2013-05-08
ENOCH UNIT,2006-11-28,TO,NULL,Altinex Oil Norway AS,4.36000,NULL,3437805,4446230,9999-12-31,2013-05-08
ENOCH UNIT,2006-10-31,FROM,NULL,Talisman Expro Limited,24.00000,NULL,3437805,3987589,9999-12-31,2013-05-08
ENOCH UNIT,2006-10-31,TO,NULL,Talisman North Sea Limited,24.00000,NULL,3437805,4462398,9999-12-31,2013-05-08
ENOCH UNIT,2006-09-06,FROM,NULL,DONG Norge AS,1.86000,NULL,3437805,1853083,9999-12-31,2013-05-08
ENOCH UNIT,2006-09-06,TO,NULL,DONG E&P Norge AS,1.86000,NULL,3437805,4070011,9999-12-31,2013-05-08
ENOCH UNIT,2006-05-22,FROM,NULL,Petro-Canada UK Limited,8.00000,NULL,3437805,3437846,9999-12-31,2013-05-08
ENOCH UNIT,2006-05-22,TO,NULL,Endeavour Energy (UK) Limited,8.00000,NULL,3437805,4462359,9999-12-31,2013-05-08
ENOCH UNIT,2005-12-19,FROM,NULL,Paladin Expro Limited,24.00000,NULL,3437805,3437686,9999-12-31,2013-05-08
ENOCH UNIT,2005-12-19,TO,NULL,Talisman Expro Limited,24.00000,NULL,3437805,3987589,9999-12-31,2013-05-08
ENOCH UNIT,2005-10-11,FROM,NULL,Total E&P Norge AS,4.36000,NULL,3437805,2410708,9999-12-31,2013-05-08
ENOCH UNIT,2005-10-11,TO,NULL,Altinex Oil AS,4.36000,NULL,3437805,2835200,9999-12-31,2013-05-08
ENOCH UNIT,2005-08-18,FROM,NULL,Lundin North Sea Limited,1.20000,NULL,3437805,3437835,9999-12-31,2013-05-08
ENOCH UNIT,2005-08-18,TO,NULL,Talisman LNS Limited,1.20000,NULL,3437805,4462294,9999-12-31,2013-05-08
FRIGG UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,32.15600,NULL,45634,4511658,9999-12-31,2013-05-08
FRIGG UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,32.15600,NULL,45634,17237817,9999-12-31,2013-05-08
FRIGG UNIT,2009-01-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro ASA,12.16400,NULL,45634,4511854,9999-12-31,2013-05-08
FRIGG UNIT,2009-01-01,TO,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,12.16400,NULL,45634,4511658,9999-12-31,2013-05-08
FRIGG UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),12.16400,NULL,45634,1622484,9999-12-31,2013-05-08
FRIGG UNIT,2007-10-01,FROM,NULL,Norsk Hydro Petroleum AS,19.99200,NULL,45634,4524355,9999-12-31,2013-05-08
FRIGG UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,12.16400,NULL,45634,4511854,9999-12-31,2013-05-08
FRIGG UNIT,2007-10-01,TO,NULL,StatoilHydro Petroleum AS,19.99200,NULL,45634,4511658,9999-12-31,2013-05-08
FRIGG UNIT,2007-01-01,FROM,NULL,Norsk Hydro Produksjon AS,19.99200,NULL,45634,430,9999-12-31,2013-05-08
FRIGG UNIT,2007-01-01,TO,NULL,Norsk Hydro Petroleum AS,19.99200,NULL,45634,4524355,9999-12-31,2013-05-08
FRIGG UNIT,2003-05-06,FROM,NULL,Elf Exploration UK Ltd,26.12000,NULL,45634,45736,9999-12-31,2013-05-08
FRIGG UNIT,2003-05-06,FROM,NULL,Total Oil Marine Ltd,13.06000,NULL,45634,45696,9999-12-31,2013-05-08
FRIGG UNIT,2003-05-06,FROM,NULL,TotalFinaElf Exploration Norge AS,28.66400,NULL,45634,1340884,9999-12-31,2013-05-08
FRIGG UNIT,2003-05-06,TO,NULL,TOTAL E&P UK PLC,39.18000,NULL,45634,2747820,9999-12-31,2013-05-08
FRIGG UNIT,2003-05-06,TO,NULL,Total E&P Norge AS,28.66400,NULL,45634,2410708,9999-12-31,2013-05-08
FRIGG UNIT,2001-12-18,FROM,NULL,Total Norge AS,12.59600,NULL,45634,848,9999-12-31,2013-05-08
FRIGG UNIT,2001-12-18,TO,NULL,TotalFinaElf Exploration Norge AS,12.59600,NULL,45634,1340884,9999-12-31,2013-05-08
FRIGG UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,12.16400,NULL,45634,749,9999-12-31,2013-05-08
FRIGG UNIT,2001-05-10,TO,NULL,Statoil ASA (old),12.16400,NULL,45634,1622484,9999-12-31,2013-05-08
FRIGG UNIT,2000-07-24,FROM,NULL,Elf Petroleum Norge AS,16.06800,NULL,45634,298,9999-12-31,2013-05-08
FRIGG UNIT,2000-07-24,TO,NULL,TotalFinaElf Exploration Norge AS,16.06800,NULL,45634,1340884,9999-12-31,2013-05-08
FRIGG UNIT,1992-08-14,FROM,NULL,Elf Aquitaine Norge A/S,16.06800,NULL,45634,331,9999-12-31,2013-05-08
FRIGG UNIT,1992-08-14,TO,NULL,Elf Petroleum Norge AS,16.06800,NULL,45634,298,9999-12-31,2013-05-08
FRIGG UNIT,1991-12-20,FROM,NULL,Elf Aquitaine Norge A/S,9.12300,NULL,45634,331,9999-12-31,2013-05-08
FRIGG UNIT,1991-12-20,TO,NULL,Den norske stats oljeselskap a.s,9.12300,NULL,45634,749,9999-12-31,2013-05-08
FRIGG UNIT,1989-01-01,FROM,NULL,BP Petroleum Development Ltd,0.23000,NULL,45634,42067,9999-12-31,2013-05-08
FRIGG UNIT,1989-01-01,TO,NULL,Total Oil Marine Ltd,0.08000,NULL,45634,45696,9999-12-31,2013-05-08
FRIGG UNIT,1989-01-01,TO,NULL,Elf Exploration UK Ltd,0.15000,NULL,45634,45736,9999-12-31,2013-05-08
FRIGG UNIT,1981-01-01,FROM,NULL,Total Oil Marine Ltd,0.08000,NULL,45634,45696,9999-12-31,2013-05-08
FRIGG UNIT,1981-01-01,FROM,NULL,Aquitaine UK,8.70700,NULL,45634,45674,9999-12-31,2013-05-08
FRIGG UNIT,1981-01-01,FROM,NULL,ELF Oil UK,17.41300,NULL,45634,45685,9999-12-31,2013-05-08
FRIGG UNIT,1981-01-01,TO,NULL,BP Petroleum Development Ltd,0.23000,NULL,45634,42067,9999-12-31,2013-05-08
FRIGG UNIT,1981-01-01,TO,NULL,Elf Exploration UK Ltd,25.97000,NULL,45634,45736,9999-12-31,2013-05-08
FRØY UNIT,2001-12-18,FROM,NULL,Total Norge AS,15.23460,NULL,41175,848,9999-12-31,2013-05-08
FRØY UNIT,2001-12-18,TO,NULL,TotalFinaElf Exploration Norge AS,15.23460,NULL,41175,1340884,9999-12-31,2013-05-08
FRØY UNIT,2001-06-17,FROM,NULL,SDØE,41.61600,NULL,41175,1623450,9999-12-31,2013-05-08
FRØY UNIT,2001-06-17,TO,NULL,Petoro AS,41.61600,NULL,41175,1626839,9999-12-31,2013-05-08
FRØY UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,53.96000,NULL,41175,749,9999-12-31,2013-05-08
FRØY UNIT,2001-05-10,TO,NULL,Statoil ASA (old),12.34400,NULL,41175,1622484,9999-12-31,2013-05-08
FRØY UNIT,2001-05-10,TO,NULL,SDØE,41.61600,NULL,41175,1623450,9999-12-31,2013-05-08
FRØY UNIT,2000-07-24,FROM,NULL,Elf Petroleum Norge AS,24.75730,NULL,41175,298,9999-12-31,2013-05-08
FRØY UNIT,2000-07-24,TO,NULL,TotalFinaElf Exploration Norge AS,24.75730,NULL,41175,1340884,9999-12-31,2013-05-08
GIMLE UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,65.13370,NULL,4007192,4511658,9999-12-31,2013-05-08
GIMLE UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,65.13370,NULL,4007192,17237817,9999-12-31,2013-05-08
GIMLE UNIT,2009-01-01,FROM,MERGER/TAKEOVER,StatoilHydro ASA,47.23370,NULL,4007192,4511854,9999-12-31,2013-05-08
GIMLE UNIT,2009-01-01,TO,MERGER/TAKEOVER,StatoilHydro Petroleum AS,47.23370,NULL,4007192,4511658,9999-12-31,2013-05-08
GIMLE UNIT,2007-10-01,FROM,NULL,Statoil ASA (old),47.23370,NULL,4007192,1622484,9999-12-31,2013-05-08
GIMLE UNIT,2007-10-01,FROM,NULL,Norsk Hydro Petroleum AS,17.90000,NULL,4007192,4524355,9999-12-31,2013-05-08
GIMLE UNIT,2007-10-01,TO,NULL,StatoilHydro Petroleum AS,17.90000,NULL,4007192,4511658,9999-12-31,2013-05-08
GIMLE UNIT,2007-10-01,TO,NULL,StatoilHydro ASA,47.23370,NULL,4007192,4511854,9999-12-31,2013-05-08
GIMLE UNIT,2007-01-02,FROM,NULL,Norske ConocoPhillips AS,5.78500,NULL,4007192,2399056,9999-12-31,2013-05-08
GIMLE UNIT,2007-01-02,TO,NULL,ConocoPhillips Skandinavia AS,5.78500,NULL,4007192,2410696,9999-12-31,2013-05-08
GIMLE UNIT,2007-01-01,FROM,NULL,Norsk Hydro Produksjon AS,17.90000,NULL,4007192,430,9999-12-31,2013-05-08
GIMLE UNIT,2007-01-01,TO,NULL,Norsk Hydro Petroleum AS,17.90000,NULL,4007192,4524355,9999-12-31,2013-05-08
GRANE SLIDING SCALE,1996-07-31,FROM,NULL,Conoco Petroleum Norge AS,7.00000,NULL,40885,232,9999-12-31,2013-05-08
GRANE SLIDING SCALE,1996-07-31,TO,NULL,Norsk Hydro Produksjon AS,7.00000,NULL,40885,430,9999-12-31,2013-05-08
GRANE UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,36.66050,NULL,1031365,4511658,9999-12-31,2013-05-08
GRANE UNIT,2009-11-01,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,36.66050,NULL,1031365,17237817,9999-12-31,2013-05-08
GRANE UNIT,2009-01-01,FROM,TRANSFER,StatoilHydro Petroleum AS,1.33950,NULL,1031365,4511658,9999-12-31,2013-05-08
GRANE UNIT,2009-01-01,FROM,TRANSFER,Petoro AS,1.05750,NULL,1031365,1626839,9999-12-31,2013-05-08
GRANE UNIT,2009-01-01,FROM,TRANSFER,ConocoPhillips Skandinavia AS,0.22560,NULL,1031365,2410696,9999-12-31,2013-05-08
GRANE UNIT,2009-01-01,TO,TRANSFER,ExxonMobil Exploration & Production Norway AS,2.62260,NULL,1031365,2835212,9999-12-31,2013-05-08
GRANE UNIT,2007-10-01,FROM,NULL,Norsk Hydro Petroleum AS,38.00000,NULL,1031365,4524355,9999-12-31,2013-05-08
GRANE UNIT,2007-10-01,TO,NULL,StatoilHydro Petroleum AS,38.00000,NULL,1031365,4511658,9999-12-31,2013-05-08
GRANE UNIT,2007-01-02,FROM,NULL,Norske ConocoPhillips AS,6.40000,NULL,1031365,2399056,9999-12-31,2013-05-08
GRANE UNIT,2007-01-02,TO,NULL,ConocoPhillips Skandinavia AS,6.40000,NULL,1031365,2410696,9999-12-31,2013-05-08
GRANE UNIT,2007-01-01,FROM,NULL,Norsk Hydro Produksjon AS,38.00000,NULL,1031365,430,9999-12-31,2013-05-08
GRANE UNIT,2007-01-01,TO,NULL,Norsk Hydro Petroleum AS,38.00000,NULL,1031365,4524355,9999-12-31,2013-05-08
GRANE UNIT,2004-10-01,FROM,NULL,Esso Exploration and Production Norway A/S,25.60000,NULL,1031365,353,9999-12-31,2013-05-08
GRANE UNIT,2004-10-01,TO,NULL,ExxonMobil Exploration & Production Norway AS,25.60000,NULL,1031365,2835212,9999-12-31,2013-05-08
GRANE UNIT,2003-03-22,FROM,NULL,Norske Conoco A/S,6.40000,NULL,1031365,221,9999-12-31,2013-05-08
GRANE UNIT,2003-03-22,TO,NULL,Norske ConocoPhillips AS,6.40000,NULL,1031365,2399056,9999-12-31,2013-05-08
GRANE UNIT,2002-03-19,FROM,NULL,Petoro AS,13.60000,NULL,1031365,1626839,9999-12-31,2013-05-08
GRANE UNIT,2002-03-19,TO,NULL,Norsk Hydro Produksjon AS,13.60000,NULL,1031365,430,9999-12-31,2013-05-08
GRANE UNIT,2001-06-17,FROM,NULL,SDØE,43.60000,NULL,1031365,1623450,9999-12-31,2013-05-08
GRANE UNIT,2001-06-17,TO,NULL,Petoro AS,43.60000,NULL,1031365,1626839,9999-12-31,2013-05-08
GRANE UNIT,2001-05-10,FROM,NULL,Den norske stats oljeselskap a.s,43.60000,NULL,1031365,749,9999-12-31,2013-05-08
GRANE UNIT,2001-05-10,TO,NULL,SDØE,43.60000,NULL,1031365,1623450,9999-12-31,2013-05-08
GRANE UNIT,2001-01-01,FROM,NULL,Den norske stats oljeselskap a.s,6.40000,NULL,1031365,749,9999-12-31,2013-05-08
GRANE UNIT,2001-01-01,TO,NULL,Norske Conoco A/S,6.40000,NULL,1031365,221,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2009-11-01,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,55.29910,NULL,1854695,4511658,9999-12-31,2013-05-08
